,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction
0,1,1,1,1,42,1,3,-1,-0.333,move,l,5,"[8, 6]","[7, 6]",False
1,2,1,1,1,42,1,12,-1,-0.333,remove,l,2,"[1, 2]","[0, 2]",False
0,1,1,1,1,42,2,6,0.0313,-0.167,move,ld,5,"[7, 6]","[6, 7]",False
1,2,1,1,1,42,2,2,0.0313,-0.55,move,ru,5,"[1, 2]","[2, 1]",False
0,1,1,1,1,42,3,4,0.12969999999999995,-0.333,move,z,5,"[6, 7]","[6, 7]",False
1,2,1,1,1,42,3,4,0.12969999999999995,0.333,move,z,5,"[2, 1]","[2, 1]",False
0,1,1,1,1,42,4,4,0.19779999999999992,0.333,move,z,5,"[6, 7]","[6, 7]",False
1,2,1,1,1,42,4,8,0.19779999999999992,-0.333,move,rd,5,"[2, 1]","[3, 2]",False
0,1,1,1,1,42,5,12,0.11384999999999997,-0.167,remove,l,2,"[6, 7]","[5, 7]",False
1,2,1,1,1,42,5,12,0.11384999999999997,0.167,remove,l,2,"[3, 2]","[2, 2]",False
0,1,1,1,1,42,6,1,0.2551,-0.383,move,u,5,"[6, 7]","[6, 6]",False
1,2,1,1,1,42,6,15,0.2551,-0.3,remove,d,2,"[3, 2]","[3, 3]",False
0,1,1,1,1,42,7,15,0.11794999999999997,0.417,remove,d,5,"[6, 6]","[6, 7]",False
1,2,1,1,1,42,7,12,0.11794999999999997,-0.3,remove,l,2,"[3, 2]","[2, 2]",False
0,1,1,1,1,42,8,3,0.22449999999999998,-0.333,move,l,5,"[6, 6]","[5, 6]",False
1,2,1,1,1,42,8,11,0.22449999999999998,-0.467,remove,ru,2,"[3, 2]","[4, 1]",False
0,1,1,1,1,42,9,15,0.18980000000000002,0.333,remove,d,2,"[5, 6]","[5, 7]",False
1,2,1,1,1,42,9,10,0.18980000000000002,0.2,remove,u,2,"[3, 2]","[3, 1]",False
0,1,1,1,1,42,10,10,0.27054999999999996,-0.717,remove,u,2,"[5, 6]","[5, 5]",False
1,2,1,1,1,42,10,7,0.27054999999999996,-1.133,move,d,5,"[3, 2]","[3, 3]",False
0,1,1,1,1,42,11,4,0.19059999999999996,-0.217,move,z,5,"[5, 6]","[5, 6]",False
1,2,1,1,1,42,11,9,0.19059999999999996,0.25,remove,lu,2,"[3, 3]","[2, 2]",False
0,1,1,1,1,42,12,4,0.51605,0.333,move,z,5,"[5, 6]","[5, 6]",False
1,2,1,1,1,42,12,2,0.51605,-0.133,move,ru,5,"[3, 3]","[4, 2]",False
0,1,1,1,1,42,13,10,0.21339999999999998,0.0,remove,u,2,"[5, 6]","[5, 5]",False
1,2,1,1,1,42,13,0,0.21339999999999998,0.5,move,lu,5,"[4, 2]","[3, 1]",False
0,1,1,1,1,42,14,13,0.18370000000000003,-0.467,remove,r,5,"[5, 6]","[6, 6]",False
1,2,1,1,1,42,14,9,0.18370000000000003,-0.333,remove,lu,2,"[3, 1]","[2, 0]",False
0,1,1,1,1,42,15,2,0.5734499999999999,0.0,move,ru,5,"[5, 6]","[6, 5]",False
1,2,1,1,1,42,15,0,0.5734499999999999,0.033,move,lu,5,"[3, 1]","[2, 0]",False
0,1,1,1,1,42,16,5,0.26075,0.083,move,r,5,"[6, 5]","[7, 5]",False
1,2,1,1,1,42,16,14,0.26075,0.0,remove,ld,2,"[2, 0]","[1, 1]",False
0,1,1,1,1,42,17,13,0.7171999999999998,0.167,remove,r,2,"[7, 5]","[8, 5]",False
1,2,1,1,1,42,17,11,0.7171999999999998,-0.883,remove,ru,1,"[2, 0]","[3, -1]",False
0,1,1,1,1,42,18,2,0.6352499999999999,-0.717,move,ru,5,"[7, 5]","[8, 4]",False
1,2,1,1,1,42,18,3,0.6352499999999999,-0.317,move,l,5,"[2, 0]","[1, 0]",False
0,1,1,1,1,42,19,15,0.59765,0.5,remove,d,2,"[8, 4]","[8, 5]",False
1,2,1,1,1,42,19,11,0.59765,0.583,remove,ru,1,"[1, 0]","[2, -1]",False
0,1,1,1,1,42,20,5,0.6383500000000001,-0.467,move,r,5,"[8, 4]","[9, 4]",False
1,2,1,1,1,42,20,16,0.6383500000000001,-1.4,remove,rd,5,"[1, 0]","[2, 1]",False
0,1,1,1,1,42,21,3,0.78195,-0.167,move,l,5,"[9, 4]","[8, 4]",False
1,2,1,1,1,42,21,6,0.78195,0.75,move,ld,5,"[1, 0]","[0, 1]",False
0,1,1,1,1,42,22,4,0.22294999999999998,-0.083,move,z,5,"[8, 4]","[8, 4]",False
1,2,1,1,1,42,22,0,0.22294999999999998,0.0,move,lu,1,"[0, 1]","[-1, 0]",False
0,1,1,1,1,42,23,7,0.43709999999999993,-0.083,move,d,5,"[8, 4]","[8, 5]",False
1,2,1,1,1,42,23,5,0.43709999999999993,-0.233,move,r,5,"[0, 1]","[1, 1]",False
0,1,1,1,1,42,24,3,0.47154999999999997,0.583,move,l,5,"[8, 5]","[7, 5]",False
1,2,1,1,1,42,24,12,0.47154999999999997,-0.417,remove,l,5,"[1, 1]","[0, 1]",False
0,1,1,1,1,42,25,15,0.8669499999999999,-0.667,remove,d,5,"[7, 5]","[7, 6]",False
1,2,1,1,1,42,25,13,0.8669499999999999,-0.25,remove,r,2,"[1, 1]","[2, 1]",False
0,1,1,1,1,42,26,15,0.3234499999999999,1.0,remove,d,2,"[7, 5]","[7, 6]",False
1,2,1,1,1,42,26,13,0.3234499999999999,0.033,remove,r,2,"[1, 1]","[2, 1]",False
0,1,1,1,1,42,27,7,0.4043,-0.383,move,d,5,"[7, 5]","[7, 6]",False
1,2,1,1,1,42,27,5,0.4043,-0.217,move,r,5,"[1, 1]","[2, 1]",False
0,1,1,1,1,42,28,4,0.65845,-0.417,move,z,5,"[7, 6]","[7, 6]",False
1,2,1,1,1,42,28,9,0.65845,0.25,remove,lu,5,"[2, 1]","[1, 0]",False
0,1,1,1,1,42,29,13,0.20884999999999992,0.167,remove,r,5,"[7, 6]","[8, 6]",False
1,2,1,1,1,42,29,10,0.20884999999999992,-0.333,remove,u,5,"[2, 1]","[2, 0]",False
0,1,1,1,1,42,30,14,0.19785000000000003,-0.25,remove,ld,2,"[7, 6]","[6, 7]",False
1,2,1,1,1,42,30,4,0.19785000000000003,0.667,move,z,5,"[2, 1]","[2, 1]",False
0,1,1,1,1,42,31,12,0.23289999999999997,-0.3,remove,l,2,"[7, 6]","[6, 6]",False
1,2,1,1,1,42,31,15,0.23289999999999997,-0.75,remove,d,2,"[2, 1]","[2, 2]",False
0,1,1,1,1,42,32,8,0.19704999999999995,-0.217,move,rd,5,"[7, 6]","[8, 7]",False
1,2,1,1,1,42,32,9,0.19704999999999995,-0.05,remove,lu,2,"[2, 1]","[1, 0]",False
0,1,1,1,1,42,33,13,0.24129999999999993,-0.167,remove,r,2,"[8, 7]","[9, 7]",False
1,2,1,1,1,42,33,16,0.24129999999999993,-0.05,remove,rd,5,"[2, 1]","[3, 2]",False
0,1,1,1,1,42,34,8,0.422,-0.3,move,rd,5,"[8, 7]","[9, 8]",False
1,2,1,1,1,42,34,8,0.422,-0.5,move,rd,5,"[2, 1]","[3, 2]",False
0,1,1,1,1,42,35,13,0.4307500000000001,0.75,remove,r,1,"[9, 8]","[10, 8]",False
1,2,1,1,1,42,35,15,0.4307500000000001,-0.167,remove,d,5,"[3, 2]","[3, 3]",False
0,1,1,1,1,42,36,1,0.47329999999999994,-0.483,move,u,5,"[9, 8]","[9, 7]",False
1,2,1,1,1,42,36,7,0.47329999999999994,0.0,move,d,5,"[3, 2]","[3, 3]",False
0,1,1,1,1,42,37,13,0.38534999999999997,-1.0,remove,r,1,"[9, 7]","[10, 7]",False
1,2,1,1,1,42,37,2,0.38534999999999997,0.083,move,ru,5,"[3, 3]","[4, 2]",False
0,1,1,1,1,42,38,12,0.37805000000000005,-0.317,remove,l,5,"[9, 7]","[8, 7]",False
1,2,1,1,1,42,38,5,0.37805000000000005,0.333,move,r,5,"[4, 2]","[5, 2]",False
0,1,1,1,1,42,39,14,0.4718,0.083,remove,ld,2,"[9, 7]","[8, 8]",False
1,2,1,1,1,42,39,7,0.4718,-0.333,move,d,5,"[5, 2]","[5, 3]",False
0,1,1,1,1,42,40,11,0.5208,-0.133,remove,ru,1,"[9, 7]","[10, 6]",False
1,2,1,1,1,42,40,9,0.5208,0.0,remove,lu,5,"[5, 3]","[4, 2]",False
0,1,1,1,1,42,41,3,0.561,-1.15,move,l,5,"[9, 7]","[8, 7]",False
1,2,1,1,1,42,41,13,0.561,0.0,remove,r,2,"[5, 3]","[6, 3]",False
0,1,1,1,1,42,42,10,1.17325,0.833,remove,u,2,"[8, 7]","[8, 6]",False
1,2,1,1,1,42,42,16,1.17325,-0.217,remove,rd,2,"[5, 3]","[6, 4]",False
