,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction
0,1,2,3,1,51,1,7,21.89615,2,move,d,5,"[6, 1]","[6, 2]",False
1,2,2,3,1,51,1,4,21.89615,2,move,z,5,"[1, 7]","[1, 7]",False
0,1,2,3,1,51,2,7,54.89455000000002,2,move,d,5,"[6, 2]","[6, 3]",False
1,2,2,3,1,51,2,4,54.89455000000002,2,move,z,5,"[1, 7]","[1, 7]",False
0,1,2,3,1,51,3,7,43.47335,2,move,d,5,"[6, 3]","[6, 4]",False
1,2,2,3,1,51,3,7,43.47335,2,move,d,5,"[1, 7]","[1, 8]",False
0,1,2,3,1,51,4,7,37.6465,2,move,d,5,"[6, 4]","[6, 5]",False
1,2,2,3,1,51,4,7,37.6465,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,5,7,69.84415000000001,2,move,d,5,"[6, 5]","[6, 6]",False
1,2,2,3,1,51,5,7,69.84415000000001,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,6,7,52.743100000000005,2,move,d,5,"[6, 6]","[6, 7]",False
1,2,2,3,1,51,6,7,52.743100000000005,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,7,7,46.3539,2,move,d,5,"[6, 7]","[6, 8]",False
1,2,2,3,1,51,7,7,46.3539,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,8,7,46.053200000000004,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,8,7,46.053200000000004,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,9,7,51.92179999999998,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,9,7,51.92179999999998,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,10,7,37.47109999999999,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,10,7,37.47109999999999,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,11,7,19.143700000000003,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,11,7,19.143700000000003,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,12,7,48.91964999999999,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,12,7,48.91964999999999,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,13,7,34.475750000000005,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,13,7,34.475750000000005,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,14,7,34.6785,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,14,7,34.6785,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,15,7,0.8067500000000001,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,15,7,0.8067500000000001,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,16,7,1.08615,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,16,7,1.08615,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,17,7,1.4542999999999997,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,17,7,1.4542999999999997,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,18,7,0.7483,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,18,7,0.7483,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,19,7,0.8332999999999998,2,move,d,1,"[6, 8]","[6, 9]",False
1,2,2,3,1,51,19,7,0.8332999999999998,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,20,2,0.6748500000000001,2,move,ru,5,"[6, 8]","[7, 7]",False
1,2,2,3,1,51,20,7,0.6748500000000001,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,21,7,0.6591000000000001,2,move,d,5,"[7, 7]","[7, 8]",False
1,2,2,3,1,51,21,7,0.6591000000000001,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,22,7,9.80885,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,22,7,9.80885,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,23,7,18.20625,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,23,7,18.20625,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,24,7,9.979949999999999,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,24,7,9.979949999999999,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,25,7,10.273099999999998,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,25,7,10.273099999999998,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,26,7,17.605449999999998,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,26,7,17.605449999999998,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,27,7,9.868999999999998,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,27,7,9.868999999999998,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,28,7,17.81665,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,28,7,17.81665,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,29,7,10.08095,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,29,7,10.08095,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,30,7,24.386949999999995,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,30,7,24.386949999999995,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,31,7,17.854900000000004,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,31,7,17.854900000000004,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,32,7,18.06195,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,32,7,18.06195,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,33,7,17.804499999999997,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,33,7,17.804499999999997,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,34,7,10.039750000000002,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,34,7,10.039750000000002,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,35,7,0.3526,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,35,7,0.3526,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,36,7,0.35180000000000006,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,36,7,0.35180000000000006,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,37,7,0.38515,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,37,7,0.38515,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,38,7,0.43509999999999993,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,38,7,0.43509999999999993,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,39,7,0.31904999999999994,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,39,7,0.31904999999999994,2,move,d,1,"[1, 8]","[1, 9]",False
