,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction
0,1,2,3,1,51,40,7,0.3810000000000001,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,40,7,0.3810000000000001,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,41,7,0.34540000000000004,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,41,7,0.34540000000000004,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,42,7,0.4579000000000001,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,42,7,0.4579000000000001,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,43,7,0.3758,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,43,7,0.3758,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,44,7,0.38029999999999997,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,44,7,0.38029999999999997,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,45,7,0.40435,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,45,7,0.40435,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,46,7,0.38359999999999994,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,46,9,0.38359999999999994,2,remove,lu,4,"[1, 8]","[0, 7]",False
0,1,2,3,1,51,47,7,0.38355,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,47,7,0.38355,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,48,7,0.38295,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,48,7,0.38295,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,49,7,0.347,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,49,7,0.347,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,50,7,0.29610000000000003,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,50,7,0.29610000000000003,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,1,51,51,7,0.36655,2,move,d,1,"[7, 8]","[7, 9]",False
1,2,2,3,1,51,51,7,0.36655,2,move,d,1,"[1, 8]","[1, 9]",False
0,1,2,3,2,76,1,7,113.94300000000001,2,move,d,5,"[2, 1]","[2, 2]",False
1,2,2,3,2,76,1,4,113.94300000000001,2,move,z,5,"[8, 8]","[8, 8]",False
0,1,2,3,2,76,2,7,178.0946,2,move,d,5,"[2, 2]","[2, 3]",False
1,2,2,3,2,76,2,4,178.0946,2,move,z,5,"[8, 8]","[8, 8]",False
0,1,2,3,2,76,3,7,122.5616,2,move,d,5,"[2, 3]","[2, 4]",False
1,2,2,3,2,76,3,4,122.5616,2,move,z,5,"[8, 8]","[8, 8]",False
0,1,2,3,2,76,4,7,128.2108,2,move,d,5,"[2, 4]","[2, 5]",False
1,2,2,3,2,76,4,4,128.2108,2,move,z,5,"[8, 8]","[8, 8]",False
0,1,2,3,2,76,5,7,104.77839999999995,2,move,d,5,"[2, 5]","[2, 6]",False
1,2,2,3,2,76,5,4,104.77839999999995,2,move,z,5,"[8, 8]","[8, 8]",False
0,1,2,3,2,76,6,7,267.518,2,move,d,5,"[2, 6]","[2, 7]",False
1,2,2,3,2,76,6,7,267.518,2,move,d,5,"[8, 8]","[8, 9]",False
0,1,2,3,2,76,7,7,0.58785,2,move,d,5,"[2, 7]","[2, 8]",False
1,2,2,3,2,76,7,7,0.58785,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,8,7,159.97265,2,move,d,5,"[2, 8]","[2, 9]",False
1,2,2,3,2,76,8,7,159.97265,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,9,7,64.09970000000001,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,9,7,64.09970000000001,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,10,7,104.70324999999998,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,10,7,104.70324999999998,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,11,7,185.98205000000002,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,11,7,185.98205000000002,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,12,7,104.65164999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,12,7,104.65164999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,13,7,104.51905000000002,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,13,7,104.51905000000002,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,14,7,154.33920000000003,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,14,7,154.33920000000003,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,15,7,0.6001000000000001,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,15,7,0.6001000000000001,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,16,7,0.9745999999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,16,7,0.9745999999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,17,7,0.32245,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,17,7,0.32245,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,18,7,0.4444,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,18,7,0.4444,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,19,7,0.6779999999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,19,7,0.6779999999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,20,7,0.73925,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,20,7,0.73925,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,21,7,0.18949999999999997,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,21,7,0.18949999999999997,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,22,15,0.24969999999999998,2,remove,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,22,7,0.24969999999999998,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,23,7,9.146449999999998,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,23,7,9.146449999999998,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,24,7,15.3565,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,24,7,15.3565,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,25,7,6.67695,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,25,7,6.67695,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,26,7,0.09434999999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,26,7,0.09434999999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,27,7,5.936050000000001,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,27,7,5.936050000000001,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,28,7,18.2519,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,28,7,18.2519,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,29,7,6.637449999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,29,7,6.637449999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,30,7,2.75585,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,30,7,2.75585,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,31,7,0.0603,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,31,7,0.0603,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,32,7,2.4352,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,32,7,2.4352,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,33,7,3.880950000000001,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,33,7,3.880950000000001,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,34,7,2.8499000000000008,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,34,7,2.8499000000000008,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,35,7,1.1318500000000002,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,35,7,1.1318500000000002,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,36,7,0.06874999999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,36,7,0.06874999999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,37,7,0.07594999999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,37,7,0.07594999999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,38,7,0.07600000000000001,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,38,6,0.07600000000000001,2,move,ld,1,"[8, 9]","[7, 10]",False
0,1,2,3,2,76,39,7,0.07185,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,39,7,0.07185,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,40,7,0.08289999999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,40,7,0.08289999999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,41,7,0.08885,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,41,7,0.08885,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,42,7,0.06420000000000001,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,42,7,0.06420000000000001,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,43,7,0.08070000000000001,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,43,7,0.08070000000000001,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,44,7,0.06555000000000001,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,44,7,0.06555000000000001,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,45,7,0.055949999999999986,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,45,7,0.055949999999999986,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,46,7,0.12209999999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,46,7,0.12209999999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,47,7,0.10164999999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,47,7,0.10164999999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,48,7,0.10175000000000001,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,48,7,0.10175000000000001,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,49,7,0.07515,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,49,7,0.07515,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,50,7,0.08639999999999999,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,50,7,0.08639999999999999,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,51,7,0.07185,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,51,7,0.07185,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,52,7,0.08500000000000002,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,52,7,0.08500000000000002,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,53,7,0.08569999999999998,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,53,7,0.08569999999999998,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,54,7,0.08620000000000001,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,54,7,0.08620000000000001,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,55,7,0.0753,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,55,7,0.0753,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,56,7,0.1044,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,56,7,0.1044,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,57,7,0.07755,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,57,7,0.07755,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,58,7,0.06824999999999998,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,58,7,0.06824999999999998,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,59,7,0.051550000000000006,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,59,7,0.051550000000000006,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,60,7,0.059550000000000006,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,60,7,0.059550000000000006,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,61,7,0.09080000000000002,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,61,7,0.09080000000000002,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,62,7,0.040600000000000004,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,62,7,0.040600000000000004,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,63,7,0.045250000000000005,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,63,7,0.045250000000000005,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,64,7,0.11635000000000002,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,64,15,0.11635000000000002,2,remove,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,65,13,0.8197500000000002,2,remove,r,4,"[2, 9]","[3, 9]",False
1,2,2,3,2,76,65,7,0.8197500000000002,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,66,7,0.18085,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,66,7,0.18085,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,67,7,0.0742,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,67,7,0.0742,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,68,9,0.07365000000000001,2,remove,lu,4,"[2, 9]","[1, 8]",False
1,2,2,3,2,76,68,7,0.07365000000000001,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,69,7,0.0663,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,69,7,0.0663,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,70,7,0.0818,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,70,7,0.0818,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,71,7,0.08860000000000003,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,71,7,0.08860000000000003,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,72,7,0.07945,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,72,7,0.07945,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,73,7,0.06675,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,73,7,0.06675,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,74,7,0.07219999999999997,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,74,7,0.07219999999999997,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,75,7,0.085,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,75,7,0.085,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,2,76,76,7,0.0581,2,move,d,1,"[2, 9]","[2, 10]",False
1,2,2,3,2,76,76,7,0.0581,2,move,d,1,"[8, 9]","[8, 10]",False
0,1,2,3,3,79,1,7,99.657,2,move,d,5,"[1, 6]","[1, 7]",False
1,2,2,3,3,79,1,7,99.657,2,move,d,5,"[7, 1]","[7, 2]",False
0,1,2,3,3,79,2,7,23.6502,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,2,7,23.6502,2,move,d,5,"[7, 2]","[7, 3]",False
0,1,2,3,3,79,3,7,81.96515,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,3,7,81.96515,2,move,d,5,"[7, 3]","[7, 4]",False
0,1,2,3,3,79,4,7,53.00080000000003,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,4,7,53.00080000000003,2,move,d,5,"[7, 4]","[7, 5]",False
0,1,2,3,3,79,5,7,24.3403,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,5,7,24.3403,2,move,d,5,"[7, 5]","[7, 6]",False
0,1,2,3,3,79,6,7,53.594650000000016,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,6,7,53.594650000000016,2,move,d,5,"[7, 6]","[7, 7]",False
0,1,2,3,3,79,7,7,53.39675000000002,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,7,7,53.39675000000002,2,move,d,1,"[7, 7]","[7, 8]",False
0,1,2,3,3,79,8,7,24.06545,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,8,7,24.06545,2,move,d,1,"[7, 7]","[7, 8]",False
0,1,2,3,3,79,9,7,1.0704999999999998,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,9,7,1.0704999999999998,2,move,d,1,"[7, 7]","[7, 8]",False
0,1,2,3,3,79,10,7,53.252100000000006,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,10,7,53.252100000000006,2,move,d,1,"[7, 7]","[7, 8]",False
0,1,2,3,3,79,11,7,82.17229999999999,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,11,7,82.17229999999999,2,move,d,1,"[7, 7]","[7, 8]",False
0,1,2,3,3,79,12,7,105.22255,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,12,7,105.22255,2,move,d,1,"[7, 7]","[7, 8]",False
0,1,2,3,3,79,13,7,70.5304,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,13,13,70.5304,2,remove,r,4,"[7, 7]","[8, 7]",False
0,1,2,3,3,79,14,7,52.84544999999999,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,14,7,52.84544999999999,2,move,d,1,"[7, 7]","[7, 8]",False
0,1,2,3,3,79,15,7,0.9191999999999998,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,15,7,0.9191999999999998,2,move,d,1,"[7, 7]","[7, 8]",False
0,1,2,3,3,79,16,7,0.7566,2,move,d,1,"[1, 7]","[1, 8]",False
1,2,2,3,3,79,16,7,0.7566,2,move,d,1,"[7, 7]","[7, 8]",False
0,1,2,3,3,79,17,7,0.5743,2,move,d,1,"[1, 7]","[1, 8]",False
