,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,2,10,1,49,1,6,0.1659,-0.333,move,ld,5,"[5, 9]","[4, 10]",False,True
1,2,2,10,1,49,1,7,0.1659,-0.417,move,d,5,"[2, 1]","[2, 2]",False,True
0,1,2,10,1,49,2,10,0.12174999999999998,-0.167,remove,u,2,"[4, 10]","[4, 9]",False,True
1,2,2,10,1,49,2,0,0.12174999999999998,0.0,move,lu,5,"[2, 2]","[1, 1]",False,True
0,1,2,10,1,49,3,6,0.10900000000000001,-0.05,move,ld,1,"[4, 10]","[3, 11]",False,True
1,2,2,10,1,49,3,2,0.10900000000000001,0.25,move,ru,5,"[1, 1]","[2, 0]",False,True
0,1,2,10,1,49,4,4,0.10915,-0.483,move,z,5,"[4, 10]","[4, 10]",False,True
1,2,2,10,1,49,4,9,0.10915,0.083,remove,lu,1,"[2, 0]","[1, -1]",False,True
0,1,2,10,1,49,5,11,0.11865,0.083,remove,ru,5,"[4, 10]","[5, 9]",False,True
1,2,2,10,1,49,5,1,0.11865,-0.65,move,u,1,"[2, 0]","[2, -1]",False,True
0,1,2,10,1,49,6,10,0.12069999999999999,-0.333,remove,u,2,"[4, 10]","[4, 9]",False,True
1,2,2,10,1,49,6,13,0.12069999999999999,-0.9,remove,r,2,"[2, 0]","[3, 0]",False,True
0,1,2,10,1,49,7,4,0.10894999999999999,-0.383,move,z,5,"[4, 10]","[4, 10]",False,True
1,2,2,10,1,49,7,9,0.10894999999999999,0.367,remove,lu,1,"[2, 0]","[1, -1]",False,True
0,1,2,10,1,49,8,0,0.10550000000000001,0.333,move,lu,5,"[4, 10]","[3, 9]",False,True
1,2,2,10,1,49,8,14,0.10550000000000001,-0.567,remove,ld,5,"[2, 0]","[1, 1]",False,True
0,1,2,10,1,49,9,13,0.12044999999999999,-0.083,remove,r,2,"[3, 9]","[4, 9]",False,True
1,2,2,10,1,49,9,3,0.12044999999999999,-0.083,move,l,5,"[2, 0]","[1, 0]",False,True
0,1,2,10,1,49,10,0,0.13094999999999998,-0.217,move,lu,5,"[3, 9]","[2, 8]",False,True
1,2,2,10,1,49,10,13,0.13094999999999998,0.0,remove,r,5,"[1, 0]","[2, 0]",False,True
0,1,2,10,1,49,11,15,0.13035000000000002,0.0,remove,d,2,"[2, 8]","[2, 9]",False,True
1,2,2,10,1,49,11,11,0.13035000000000002,-0.25,remove,ru,1,"[1, 0]","[2, -1]",False,True
0,1,2,10,1,49,12,14,0.08725000000000001,-0.217,remove,ld,2,"[2, 8]","[1, 9]",False,True
1,2,2,10,1,49,12,6,0.08725000000000001,0.1,move,ld,5,"[1, 0]","[0, 1]",False,True
0,1,2,10,1,49,13,13,0.08524999999999998,-0.8,remove,r,2,"[2, 8]","[3, 8]",False,True
1,2,2,10,1,49,13,6,0.08524999999999998,-0.167,move,ld,1,"[0, 1]","[-1, 2]",False,True
0,1,2,10,1,49,14,3,0.0771,0.2,move,l,5,"[2, 8]","[1, 8]",False,True
1,2,2,10,1,49,14,12,0.0771,-0.733,remove,l,1,"[0, 1]","[-1, 1]",False,True
0,1,2,10,1,49,15,13,0.07085,-0.333,remove,r,5,"[1, 8]","[2, 8]",False,True
1,2,2,10,1,49,15,15,0.07085,-0.317,remove,d,2,"[0, 1]","[0, 2]",False,True
