,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,4,100,1,33,1,7,0.1506,-0.583,move,d,5,"[9, 2]","[9, 3]",False,True
1,2,4,100,1,33,1,13,0.1506,-0.417,remove,r,2,"[1, 6]","[2, 6]",False,True
0,1,4,100,1,33,2,5,0.16434999999999997,0.0,move,r,5,"[9, 3]","[10, 3]",False,True
1,2,4,100,1,33,2,10,0.16434999999999997,-0.383,remove,u,2,"[1, 6]","[1, 5]",False,True
0,1,4,100,1,33,3,8,0.56,0.25,move,rd,1,"[10, 3]","[11, 4]",False,True
1,2,4,100,1,33,3,15,0.56,-0.217,remove,d,2,"[1, 6]","[1, 7]",False,True
0,1,4,100,1,33,4,8,0.21610000000000004,-0.4,move,rd,1,"[10, 3]","[11, 4]",False,True
1,2,4,100,1,33,4,8,0.21610000000000004,-0.3,move,rd,5,"[1, 6]","[2, 7]",False,True
0,1,4,100,1,33,5,14,0.29890000000000005,-0.483,remove,ld,2,"[10, 3]","[9, 4]",False,True
1,2,4,100,1,33,5,3,0.29890000000000005,-0.083,move,l,5,"[2, 7]","[1, 7]",False,True
0,1,4,100,1,33,6,10,0.17345,-0.05,remove,u,2,"[10, 3]","[10, 2]",False,True
1,2,4,100,1,33,6,16,0.17345,-0.083,remove,rd,2,"[1, 7]","[2, 8]",False,True
0,1,4,100,1,33,7,11,0.19085000000000002,-0.633,remove,ru,1,"[10, 3]","[11, 2]",False,True
1,2,4,100,1,33,7,14,0.19085000000000002,-0.217,remove,ld,2,"[1, 7]","[0, 8]",False,True
0,1,4,100,1,33,8,0,0.15255,-0.483,move,lu,5,"[10, 3]","[9, 2]",False,True
1,2,4,100,1,33,8,14,0.15255,0.117,remove,ld,2,"[1, 7]","[0, 8]",False,True
0,1,4,100,1,33,9,10,0.0884,0.0,remove,u,2,"[9, 2]","[9, 1]",False,True
1,2,4,100,1,33,9,14,0.0884,-0.717,remove,ld,2,"[1, 7]","[0, 8]",False,True
0,1,4,100,1,33,10,7,0.1416,0.283,move,d,5,"[9, 2]","[9, 3]",False,True
1,2,4,100,1,33,10,16,0.1416,-0.383,remove,rd,2,"[1, 7]","[2, 8]",False,True
0,1,4,100,1,33,11,16,0.13285,-0.25,remove,rd,2,"[9, 3]","[10, 4]",False,True
1,2,4,100,1,33,11,11,0.13285,0.117,remove,ru,2,"[1, 7]","[2, 6]",False,True
0,1,4,100,1,33,12,1,0.13894999999999996,-0.383,move,u,5,"[9, 3]","[9, 2]",False,True
1,2,4,100,1,33,12,13,0.13894999999999996,-0.8,remove,r,5,"[1, 7]","[2, 7]",False,True
