,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,30,100,1,37,1,14,0.14694999999999997,-0.417,remove,ld,2,"[7, 8]","[6, 9]",False,True
1,2,30,100,1,37,1,5,0.14694999999999997,-0.333,move,r,5,"[1, 1]","[2, 1]",False,True
0,1,30,100,1,37,2,1,0.12244999999999999,-0.467,move,u,5,"[7, 8]","[7, 7]",False,True
1,2,30,100,1,37,2,14,0.12244999999999999,-0.167,remove,ld,2,"[2, 1]","[1, 2]",False,True
0,1,30,100,1,37,3,5,0.24685,-0.167,move,r,5,"[7, 7]","[8, 7]",False,True
1,2,30,100,1,37,3,12,0.24685,0.033,remove,l,5,"[2, 1]","[1, 1]",False,True
0,1,30,100,1,37,4,5,0.11854999999999996,0.083,move,r,1,"[8, 7]","[9, 7]",False,True
1,2,30,100,1,37,4,13,0.11854999999999996,-0.5,remove,r,2,"[2, 1]","[3, 1]",False,True
0,1,30,100,1,37,5,12,0.14170000000000002,-0.483,remove,l,5,"[8, 7]","[7, 7]",False,True
1,2,30,100,1,37,5,15,0.14170000000000002,-0.217,remove,d,2,"[2, 1]","[2, 2]",False,True
0,1,30,100,1,37,6,16,0.2581,0.5,remove,rd,1,"[8, 7]","[9, 8]",False,True
1,2,30,100,1,37,6,6,0.2581,-0.133,move,ld,5,"[2, 1]","[1, 2]",False,True
0,1,30,100,1,37,7,5,0.1136,-0.483,move,r,1,"[8, 7]","[9, 7]",False,True
1,2,30,100,1,37,7,11,0.1136,-0.167,remove,ru,5,"[1, 2]","[2, 1]",False,True
0,1,30,100,1,37,8,12,0.145,-0.483,remove,l,2,"[8, 7]","[7, 7]",False,True
1,2,30,100,1,37,8,5,0.145,0.167,move,r,5,"[1, 2]","[2, 2]",False,True
0,1,30,100,1,37,9,2,0.19255,-0.133,move,ru,1,"[8, 7]","[9, 6]",False,True
1,2,30,100,1,37,9,10,0.19255,-0.083,remove,u,2,"[2, 2]","[2, 1]",False,True
