,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,37,100,1,34,1,2,0.4484,-0.333,move,ru,5,"[1, 7]","[2, 6]",False,True
1,2,37,100,1,34,1,10,0.4484,-0.417,remove,u,2,"[8, 2]","[8, 1]",False,True
0,1,37,100,1,34,2,15,0.39220000000000005,-0.167,remove,d,2,"[2, 6]","[2, 7]",False,True
1,2,37,100,1,34,2,12,0.39220000000000005,-0.217,remove,l,2,"[8, 2]","[7, 2]",False,True
0,1,37,100,1,34,3,15,0.20455,-0.133,remove,d,2,"[2, 6]","[2, 7]",False,True
1,2,37,100,1,34,3,10,0.20455,-0.383,remove,u,2,"[8, 2]","[8, 1]",False,True
0,1,37,100,1,34,4,11,0.23775,-0.55,remove,ru,2,"[2, 6]","[3, 5]",False,True
1,2,37,100,1,34,4,2,0.23775,-0.467,move,ru,5,"[8, 2]","[9, 1]",False,True
0,1,37,100,1,34,5,2,0.21460000000000004,-0.05,move,ru,5,"[2, 6]","[3, 5]",False,True
1,2,37,100,1,34,5,16,0.21460000000000004,0.333,remove,rd,1,"[9, 1]","[10, 2]",False,True
0,1,37,100,1,34,6,0,0.06255,-0.083,move,lu,5,"[3, 5]","[2, 4]",False,True
1,2,37,100,1,34,6,6,0.06255,-0.317,move,ld,5,"[9, 1]","[8, 2]",False,True
0,1,37,100,1,34,7,5,0.08509999999999998,0.167,move,r,5,"[2, 4]","[3, 4]",False,True
1,2,37,100,1,34,7,5,0.08509999999999998,0.0,move,r,5,"[8, 2]","[9, 2]",False,True
0,1,37,100,1,34,8,1,0.07994999999999998,-0.167,move,u,5,"[3, 4]","[3, 3]",False,True
1,2,37,100,1,34,8,0,0.07994999999999998,-0.167,move,lu,5,"[9, 2]","[8, 1]",False,True
0,1,37,100,1,34,9,11,0.10525,-0.25,remove,ru,2,"[3, 3]","[4, 2]",False,True
1,2,37,100,1,34,9,6,0.10525,-0.25,move,ld,5,"[8, 1]","[7, 2]",False,True
0,1,37,100,1,34,10,4,0.06925,-0.05,move,z,5,"[3, 3]","[3, 3]",False,True
1,2,37,100,1,34,10,5,0.06925,0.667,move,r,5,"[7, 2]","[8, 2]",False,True
0,1,37,100,1,34,11,6,0.0508,-0.333,move,ld,5,"[3, 3]","[2, 4]",False,True
1,2,37,100,1,34,11,13,0.0508,-0.25,remove,r,5,"[8, 2]","[9, 2]",False,True
0,1,37,100,1,34,12,0,0.06405,0.667,move,lu,5,"[2, 4]","[1, 3]",False,True
1,2,37,100,1,34,12,10,0.06405,0.167,remove,u,5,"[8, 2]","[8, 1]",False,True
0,1,37,100,1,34,13,6,0.06955,0.083,move,ld,5,"[1, 3]","[0, 4]",False,True
1,2,37,100,1,34,13,5,0.06955,-0.083,move,r,5,"[8, 2]","[9, 2]",False,True
0,1,37,100,1,34,14,5,0.02870000000000001,-0.25,move,r,5,"[0, 4]","[1, 4]",False,True
1,2,37,100,1,34,14,2,0.02870000000000001,-0.333,move,ru,1,"[9, 2]","[10, 1]",False,True
0,1,37,100,1,34,15,2,0.08510000000000001,-0.417,move,ru,5,"[1, 4]","[2, 3]",False,True
1,2,37,100,1,34,15,11,0.08510000000000001,0.1,remove,ru,1,"[9, 2]","[10, 1]",False,True
0,1,37,100,1,34,16,5,0.06525,0.0,move,r,5,"[2, 3]","[3, 3]",False,True
1,2,37,100,1,34,16,9,0.06525,-0.9,remove,lu,2,"[9, 2]","[8, 1]",False,True
0,1,37,100,1,34,17,6,0.0927,0.583,move,ld,5,"[3, 3]","[2, 4]",False,True
