,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,5,100,1,40,1,16,0.23825,-0.333,remove,rd,2,"[1, 1]","[2, 2]",False,True
1,2,5,100,1,40,1,15,0.23825,-0.333,remove,d,2,"[6, 7]","[6, 8]",False,True
0,1,5,100,1,40,2,8,0.1315,-0.633,move,rd,5,"[1, 1]","[2, 2]",False,True
1,2,5,100,1,40,2,16,0.1315,-0.467,remove,rd,2,"[6, 7]","[7, 8]",False,True
0,1,5,100,1,40,3,7,0.16215,0.167,move,d,5,"[2, 2]","[2, 3]",False,True
1,2,5,100,1,40,3,12,0.16215,-0.217,remove,l,2,"[6, 7]","[5, 7]",False,True
0,1,5,100,1,40,4,5,0.16174999999999998,0.0,move,r,5,"[2, 3]","[3, 3]",False,True
1,2,5,100,1,40,4,11,0.16174999999999998,-0.217,remove,ru,2,"[6, 7]","[7, 6]",False,True
0,1,5,100,1,40,5,6,0.11224999999999999,0.083,move,ld,5,"[3, 3]","[2, 4]",False,True
1,2,5,100,1,40,5,10,0.11224999999999999,-0.467,remove,u,2,"[6, 7]","[6, 6]",False,True
0,1,5,100,1,40,6,13,0.11834999999999998,0.167,remove,r,2,"[2, 4]","[3, 4]",False,True
1,2,5,100,1,40,6,15,0.11834999999999998,-0.133,remove,d,2,"[6, 7]","[6, 8]",False,True
0,1,5,100,1,40,7,7,0.11474999999999999,-0.8,move,d,5,"[2, 4]","[2, 5]",False,True
1,2,5,100,1,40,7,4,0.11474999999999999,-0.3,move,z,5,"[6, 7]","[6, 7]",False,True
0,1,5,100,1,40,8,0,0.0882,0.75,move,lu,5,"[2, 5]","[1, 4]",False,True
1,2,5,100,1,40,8,5,0.0882,-0.25,move,r,5,"[6, 7]","[7, 7]",False,True
0,1,5,100,1,40,9,5,0.2858,-0.917,move,r,5,"[1, 4]","[2, 4]",False,True
1,2,5,100,1,40,9,8,0.2858,0.25,move,rd,1,"[7, 7]","[8, 8]",False,True
0,1,5,100,1,40,10,10,1.1352999999999998,0.5,remove,u,5,"[2, 4]","[2, 3]",False,True
1,2,5,100,1,40,10,3,1.1352999999999998,-0.317,move,l,5,"[7, 7]","[6, 7]",False,True
0,1,5,100,1,40,11,11,0.10095000000000003,0.25,remove,ru,5,"[2, 4]","[3, 3]",False,True
1,2,5,100,1,40,11,9,0.10095000000000003,-0.167,remove,lu,2,"[6, 7]","[5, 6]",False,True
0,1,5,100,1,40,12,5,0.17334999999999998,-0.5,move,r,5,"[2, 4]","[3, 4]",False,True
1,2,5,100,1,40,12,5,0.17334999999999998,-0.383,move,r,5,"[6, 7]","[7, 7]",False,True
0,1,5,100,1,40,13,6,0.07245000000000001,0.083,move,ld,5,"[3, 4]","[2, 5]",False,True
1,2,5,100,1,40,13,10,0.07245000000000001,-0.083,remove,u,2,"[7, 7]","[7, 6]",False,True
0,1,5,100,1,40,14,4,0.14199999999999996,0.25,move,z,5,"[2, 5]","[2, 5]",False,True
1,2,5,100,1,40,14,1,0.14199999999999996,-0.3,move,u,5,"[7, 7]","[7, 6]",False,True
0,1,5,100,1,40,15,13,0.1759,-0.083,remove,r,2,"[2, 5]","[3, 5]",False,True
1,2,5,100,1,40,15,6,0.1759,-0.083,move,ld,5,"[7, 6]","[6, 7]",False,True
0,1,5,100,1,40,16,13,0.24430000000000002,0.117,remove,r,2,"[2, 5]","[3, 5]",False,True
1,2,5,100,1,40,16,2,0.24430000000000002,0.083,move,ru,5,"[6, 7]","[7, 6]",False,True
0,1,5,100,1,40,17,4,0.18505,-0.467,move,z,5,"[2, 5]","[2, 5]",False,True
1,2,5,100,1,40,17,5,0.18505,0.333,move,r,1,"[7, 6]","[8, 6]",False,True
0,1,5,100,1,40,18,15,0.13424999999999998,0.167,remove,d,2,"[2, 5]","[2, 6]",False,True
