,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,42,100,1,40,1,8,0.23655000000000004,-0.667,move,rd,5,"[1, 6]","[2, 7]",False,True
1,2,42,100,1,40,1,9,0.23655000000000004,-0.333,remove,lu,2,"[8, 1]","[7, 0]",False,True
0,1,42,100,1,40,2,8,0.18009999999999998,0.083,move,rd,1,"[2, 7]","[3, 8]",False,True
1,2,42,100,1,40,2,7,0.18009999999999998,-0.3,move,d,5,"[8, 1]","[8, 2]",False,True
0,1,42,100,1,40,3,9,0.17404999999999998,-0.233,remove,lu,5,"[2, 7]","[1, 6]",False,True
1,2,42,100,1,40,3,0,0.17404999999999998,0.0,move,lu,5,"[8, 2]","[7, 1]",False,True
0,1,42,100,1,40,4,14,0.14640000000000003,-0.083,remove,ld,1,"[2, 7]","[1, 8]",False,True
1,2,42,100,1,40,4,10,0.14640000000000003,0.0,remove,u,2,"[7, 1]","[7, 0]",False,True
0,1,42,100,1,40,5,8,0.16225000000000003,-0.4,move,rd,1,"[2, 7]","[3, 8]",False,True
1,2,42,100,1,40,5,8,0.16225000000000003,-0.467,move,rd,5,"[7, 1]","[8, 2]",False,True
0,1,42,100,1,40,6,5,0.30410000000000004,-0.567,move,r,5,"[2, 7]","[3, 7]",False,True
1,2,42,100,1,40,6,5,0.30410000000000004,0.167,move,r,5,"[8, 2]","[9, 2]",False,True
0,1,42,100,1,40,7,9,0.0633,0.167,remove,lu,2,"[3, 7]","[2, 6]",False,True
1,2,42,100,1,40,7,7,0.0633,-0.083,move,d,5,"[9, 2]","[9, 3]",False,True
0,1,42,100,1,40,8,4,0.12609999999999996,-0.467,move,z,5,"[3, 7]","[3, 7]",False,True
1,2,42,100,1,40,8,6,0.12609999999999996,0.0,move,ld,5,"[9, 3]","[8, 4]",False,True
0,1,42,100,1,40,9,3,0.058100000000000006,0.333,move,l,5,"[3, 7]","[2, 7]",False,True
1,2,42,100,1,40,9,12,0.058100000000000006,-0.25,remove,l,2,"[8, 4]","[7, 4]",False,True
0,1,42,100,1,40,10,8,0.056299999999999996,0.083,move,rd,1,"[2, 7]","[3, 8]",False,True
1,2,42,100,1,40,10,10,0.056299999999999996,-0.05,remove,u,2,"[8, 4]","[8, 3]",False,True
0,1,42,100,1,40,11,14,0.14504999999999998,-0.65,remove,ld,1,"[2, 7]","[1, 8]",False,True
1,2,42,100,1,40,11,15,0.14504999999999998,0.033,remove,d,2,"[8, 4]","[8, 5]",False,True
0,1,42,100,1,40,12,8,0.04725000000000001,-0.483,move,rd,1,"[2, 7]","[3, 8]",False,True
1,2,42,100,1,40,12,8,0.04725000000000001,-0.05,move,rd,5,"[8, 4]","[9, 5]",False,True
0,1,42,100,1,40,13,5,0.10195000000000001,-0.067,move,r,5,"[2, 7]","[3, 7]",False,True
1,2,42,100,1,40,13,7,0.10195000000000001,-0.583,move,d,5,"[9, 5]","[9, 6]",False,True
0,1,42,100,1,40,14,8,0.1646,-0.167,move,rd,1,"[3, 7]","[4, 8]",False,True
1,2,42,100,1,40,14,5,0.1646,0.0,move,r,1,"[9, 6]","[10, 6]",False,True
0,1,42,100,1,40,15,13,0.33579999999999993,-0.483,remove,r,2,"[3, 7]","[4, 7]",False,True
1,2,42,100,1,40,15,8,0.33579999999999993,-1.15,move,rd,1,"[9, 6]","[10, 7]",False,True
0,1,42,100,1,40,16,14,0.5059,-0.3,remove,ld,1,"[3, 7]","[2, 8]",False,True
1,2,42,100,1,40,16,15,0.5059,0.433,remove,d,2,"[9, 6]","[9, 7]",False,True
0,1,42,100,1,40,17,2,0.44144999999999995,-0.317,move,ru,5,"[3, 7]","[4, 6]",False,True
1,2,42,100,1,40,17,8,0.44144999999999995,-0.383,move,rd,1,"[9, 6]","[10, 7]",False,True
0,1,42,100,1,40,18,15,0.4189000000000001,0.0,remove,d,2,"[4, 6]","[4, 7]",False,True
1,2,42,100,1,40,18,8,0.4189000000000001,-0.983,move,rd,1,"[9, 6]","[10, 7]",False,True
0,1,42,100,1,40,19,1,0.46749999999999997,-0.467,move,u,5,"[4, 6]","[4, 5]",False,True
1,2,42,100,1,40,19,3,0.46749999999999997,0.683,move,l,5,"[9, 6]","[8, 6]",False,True
0,1,42,100,1,40,20,5,0.30905,0.333,move,r,5,"[4, 5]","[5, 5]",False,True
1,2,42,100,1,40,20,2,0.30905,-0.5,move,ru,5,"[8, 6]","[9, 5]",False,True
0,1,42,100,1,40,21,9,0.30500000000000005,-0.333,remove,lu,2,"[5, 5]","[4, 4]",False,True
1,2,42,100,1,40,21,5,0.30500000000000005,0.0,move,r,1,"[9, 5]","[10, 5]",False,True
0,1,42,100,1,40,22,5,0.41100000000000014,-0.05,move,r,5,"[5, 5]","[6, 5]",False,True
1,2,42,100,1,40,22,4,0.41100000000000014,-0.15,move,z,5,"[9, 5]","[9, 5]",False,True
0,1,42,100,1,40,23,7,0.3921,0.0,move,d,5,"[6, 5]","[6, 6]",False,True
1,2,42,100,1,40,23,16,0.3921,-0.417,remove,rd,1,"[9, 5]","[10, 6]",False,True
0,1,42,100,1,40,24,3,0.2866,-0.083,move,l,5,"[6, 6]","[5, 6]",False,True
1,2,42,100,1,40,24,4,0.2866,-0.15,move,z,5,"[9, 5]","[9, 5]",False,True
0,1,42,100,1,40,25,0,0.286,0.25,move,lu,5,"[5, 6]","[4, 5]",False,True
1,2,42,100,1,40,25,8,0.286,0.0,move,rd,1,"[9, 5]","[10, 6]",False,True
0,1,42,100,1,40,26,12,0.8709000000000001,0.333,remove,l,2,"[4, 5]","[3, 5]",False,True
1,2,42,100,1,40,26,5,0.8709000000000001,0.017,move,r,1,"[9, 5]","[10, 5]",False,True
0,1,42,100,1,40,27,8,1.09985,-0.55,move,rd,5,"[4, 5]","[5, 6]",False,True
1,2,42,100,1,40,27,15,1.09985,-1.067,remove,d,5,"[9, 5]","[9, 6]",False,True
0,1,42,100,1,40,28,7,0.2245999999999999,-0.583,move,d,5,"[5, 6]","[5, 7]",False,True
1,2,42,100,1,40,28,15,0.2245999999999999,-0.167,remove,d,2,"[9, 5]","[9, 6]",False,True
0,1,42,100,1,40,29,4,0.14179999999999998,-0.25,move,z,5,"[5, 7]","[5, 7]",False,True
1,2,42,100,1,40,29,12,0.14179999999999998,0.117,remove,l,2,"[9, 5]","[8, 5]",False,True
0,1,42,100,1,40,30,2,0.12075000000000002,0.583,move,ru,5,"[5, 7]","[6, 6]",False,True
1,2,42,100,1,40,30,7,0.12075000000000002,0.117,move,d,5,"[9, 5]","[9, 6]",False,True
0,1,42,100,1,40,31,2,0.2647500000000001,0.25,move,ru,5,"[6, 6]","[7, 5]",False,True
1,2,42,100,1,40,31,3,0.2647500000000001,-0.333,move,l,5,"[9, 6]","[8, 6]",False,True
0,1,42,100,1,40,32,4,0.5704,-0.667,move,z,5,"[7, 5]","[7, 5]",False,True
1,2,42,100,1,40,32,16,0.5704,-0.333,remove,rd,2,"[8, 6]","[9, 7]",False,True
0,1,42,100,1,40,33,14,0.13490000000000002,1.0,remove,ld,5,"[7, 5]","[6, 6]",False,True
1,2,42,100,1,40,33,13,0.13490000000000002,-0.05,remove,r,5,"[8, 6]","[9, 6]",False,True
0,1,42,100,1,40,34,3,0.13015,-0.25,move,l,5,"[7, 5]","[6, 5]",False,True
1,2,42,100,1,40,34,8,0.13015,0.5,move,rd,5,"[8, 6]","[9, 7]",False,True
0,1,42,100,1,40,35,13,0.3196,-0.333,remove,r,5,"[6, 5]","[7, 5]",False,True
1,2,42,100,1,40,35,10,0.3196,-0.5,remove,u,2,"[9, 7]","[9, 6]",False,True
