,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,10,100,1,31,1,6,0.3368999999999999,-0.5,move,ld,5,"[9, 6]","[8, 7]",False,True
1,2,10,100,1,31,1,15,0.3368999999999999,-0.5,remove,d,2,"[1, 1]","[1, 2]",False,True
0,1,10,100,1,31,2,3,0.5435999999999999,0.0,move,l,5,"[8, 7]","[7, 7]",False,True
1,2,10,100,1,31,2,13,0.5435999999999999,-0.217,remove,r,2,"[1, 1]","[2, 1]",False,True
0,1,10,100,1,31,3,12,0.44825000000000015,0.25,remove,l,2,"[7, 7]","[6, 7]",False,True
1,2,10,100,1,31,3,15,0.44825000000000015,-0.3,remove,d,2,"[1, 1]","[1, 2]",False,True
0,1,10,100,1,31,4,6,0.22559999999999997,-0.717,move,ld,1,"[7, 7]","[6, 8]",False,True
1,2,10,100,1,31,4,1,0.22559999999999997,-0.217,move,u,5,"[1, 1]","[1, 0]",False,True
0,1,10,100,1,31,5,12,0.20095000000000005,-0.317,remove,l,2,"[7, 7]","[6, 7]",False,True
1,2,10,100,1,31,5,6,0.20095000000000005,0.0,move,ld,5,"[1, 0]","[0, 1]",False,True
0,1,10,100,1,31,6,9,0.14529999999999998,-0.217,remove,lu,2,"[7, 7]","[6, 6]",False,True
1,2,10,100,1,31,6,1,0.14529999999999998,-0.083,move,u,5,"[0, 1]","[0, 0]",False,True
0,1,10,100,1,31,7,1,0.0534,-0.467,move,u,5,"[7, 7]","[7, 6]",False,True
1,2,10,100,1,31,7,5,0.0534,0.0,move,r,5,"[0, 0]","[1, 0]",False,True
0,1,10,100,1,31,8,0,0.14165,0.0,move,lu,5,"[7, 6]","[6, 5]",False,True
1,2,10,100,1,31,8,10,0.14165,0.417,remove,u,1,"[1, 0]","[1, -1]",False,True
0,1,10,100,1,31,9,7,0.03355000000000001,0.583,move,d,5,"[6, 5]","[6, 6]",False,True
1,2,10,100,1,31,9,7,0.03355000000000001,-0.317,move,d,5,"[1, 0]","[1, 1]",False,True
0,1,10,100,1,31,10,11,0.07665,-0.917,remove,ru,2,"[6, 6]","[7, 5]",False,True
1,2,10,100,1,31,10,16,0.07665,-0.333,remove,rd,2,"[1, 1]","[2, 2]",False,True
0,1,10,100,1,31,11,5,0.27199999999999996,0.283,move,r,5,"[6, 6]","[7, 6]",False,True
1,2,10,100,1,31,11,13,0.27199999999999996,-0.3,remove,r,2,"[1, 1]","[2, 1]",False,True
0,1,10,100,1,31,12,11,0.11879999999999999,-0.167,remove,ru,2,"[7, 6]","[8, 5]",False,True
1,2,10,100,1,31,12,15,0.11879999999999999,-0.633,remove,d,2,"[1, 1]","[1, 2]",False,True
0,1,10,100,1,31,13,0,0.08559999999999998,-0.217,move,lu,5,"[7, 6]","[6, 5]",False,True
1,2,10,100,1,31,13,9,0.08559999999999998,-0.05,remove,lu,5,"[1, 1]","[0, 0]",False,True
0,1,10,100,1,31,14,9,0.0546,-0.25,remove,lu,2,"[6, 5]","[5, 4]",False,True
1,2,10,100,1,31,14,5,0.0546,-0.583,move,r,5,"[1, 1]","[2, 1]",False,True
