,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,12,100,1,38,1,5,0.24899999999999997,-0.417,move,r,5,"[8, 8]","[9, 8]",False,True
1,2,12,100,1,38,1,13,0.24899999999999997,-0.417,remove,r,2,"[2, 2]","[3, 2]",False,True
0,1,12,100,1,38,2,7,0.15475,-0.083,move,d,5,"[9, 8]","[9, 9]",False,True
1,2,12,100,1,38,2,8,0.15475,-0.467,move,rd,5,"[2, 2]","[3, 3]",False,True
0,1,12,100,1,38,3,3,0.14394999999999997,-0.333,move,l,5,"[9, 9]","[8, 9]",False,True
1,2,12,100,1,38,3,4,0.14394999999999997,0.167,move,z,5,"[3, 3]","[3, 3]",False,True
0,1,12,100,1,38,4,8,0.2032,0.5,move,rd,5,"[8, 9]","[9, 10]",False,True
1,2,12,100,1,38,4,4,0.2032,0.167,move,z,5,"[3, 3]","[3, 3]",False,True
0,1,12,100,1,38,5,2,0.25730000000000003,0.083,move,ru,5,"[9, 10]","[10, 9]",False,True
1,2,12,100,1,38,5,13,0.25730000000000003,0.083,remove,r,2,"[3, 3]","[4, 3]",False,True
0,1,12,100,1,38,6,8,0.19790000000000002,0.083,move,rd,1,"[10, 9]","[11, 10]",False,True
1,2,12,100,1,38,6,9,0.19790000000000002,-0.633,remove,lu,5,"[3, 3]","[2, 2]",False,True
0,1,12,100,1,38,7,5,0.15460000000000002,-0.483,move,r,1,"[10, 9]","[11, 9]",False,True
1,2,12,100,1,38,7,2,0.15460000000000002,0.083,move,ru,5,"[3, 3]","[4, 2]",False,True
0,1,12,100,1,38,8,6,0.22795,-0.567,move,ld,5,"[10, 9]","[9, 10]",False,True
1,2,12,100,1,38,8,4,0.22795,0.167,move,z,5,"[4, 2]","[4, 2]",False,True
0,1,12,100,1,38,9,9,0.2071,-0.5,remove,lu,5,"[9, 10]","[8, 9]",False,True
