,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,27,100,1,37,1,5,0.46790000000000004,-0.417,move,r,5,"[1, 1]","[2, 1]",False,True
1,2,27,100,1,37,1,13,0.46790000000000004,-0.417,remove,r,2,"[9, 7]","[10, 7]",False,True
0,1,27,100,1,37,2,1,0.26835000000000003,-0.083,move,u,5,"[2, 1]","[2, 0]",False,True
1,2,27,100,1,37,2,3,0.26835000000000003,-0.217,move,l,5,"[9, 7]","[8, 7]",False,True
0,1,27,100,1,37,3,0,0.6091,-0.25,move,lu,1,"[2, 0]","[1, -1]",False,True
1,2,27,100,1,37,3,3,0.6091,-0.083,move,l,5,"[8, 7]","[7, 7]",False,True
0,1,27,100,1,37,4,4,0.15290000000000004,0.017,move,z,5,"[2, 0]","[2, 0]",False,True
1,2,27,100,1,37,4,3,0.15290000000000004,-0.167,move,l,5,"[7, 7]","[6, 7]",False,True
0,1,27,100,1,37,5,2,0.15735,-0.167,move,ru,1,"[2, 0]","[3, -1]",False,True
1,2,27,100,1,37,5,8,0.15735,0.333,move,rd,5,"[6, 7]","[7, 8]",False,True
0,1,27,100,1,37,6,13,0.22854999999999998,-0.233,remove,r,2,"[2, 0]","[3, 0]",False,True
1,2,27,100,1,37,6,1,0.22854999999999998,-0.5,move,u,5,"[7, 8]","[7, 7]",False,True
0,1,27,100,1,37,7,16,0.1794,-0.633,remove,rd,2,"[2, 0]","[3, 1]",False,True
1,2,27,100,1,37,7,12,0.1794,0.667,remove,l,5,"[7, 7]","[6, 7]",False,True
0,1,27,100,1,37,8,2,0.16260000000000002,-0.467,move,ru,1,"[2, 0]","[3, -1]",False,True
1,2,27,100,1,37,8,4,0.16260000000000002,-0.083,move,z,5,"[7, 7]","[7, 7]",False,True
0,1,27,100,1,37,9,1,0.13924999999999998,-0.15,move,u,1,"[2, 0]","[2, -1]",False,True
1,2,27,100,1,37,9,10,0.13924999999999998,0.167,remove,u,2,"[7, 7]","[7, 6]",False,True
0,1,27,100,1,37,10,11,0.136,-0.067,remove,ru,1,"[2, 0]","[3, -1]",False,True
1,2,27,100,1,37,10,1,0.136,-1.05,move,u,5,"[7, 7]","[7, 6]",False,True
0,1,27,100,1,37,11,3,0.19895,-0.733,move,l,5,"[2, 0]","[1, 0]",False,True
1,2,27,100,1,37,11,16,0.19895,0.083,remove,rd,5,"[7, 6]","[8, 7]",False,True
