,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,33,100,1,40,1,4,1.9060000000000001,-0.333,move,z,5,"[7, 8]","[7, 8]",False,True
1,2,33,100,1,40,1,2,1.9060000000000001,-0.667,move,ru,5,"[2, 1]","[3, 0]",False,True
0,1,33,100,1,40,2,7,1.0109,-0.25,move,d,5,"[7, 8]","[7, 9]",False,True
1,2,33,100,1,40,2,12,1.0109,-0.083,remove,l,2,"[3, 0]","[2, 0]",False,True
0,1,33,100,1,40,3,0,0.30710000000000004,0.0,move,lu,5,"[7, 9]","[6, 8]",False,True
1,2,33,100,1,40,3,14,0.30710000000000004,0.2,remove,ld,5,"[3, 0]","[2, 1]",False,True
0,1,33,100,1,40,4,5,0.39060000000000006,-0.083,move,r,5,"[6, 8]","[7, 8]",False,True
1,2,33,100,1,40,4,2,0.39060000000000006,-0.083,move,ru,1,"[3, 0]","[4, -1]",False,True
0,1,33,100,1,40,5,7,0.24335,0.0,move,d,5,"[7, 8]","[7, 9]",False,True
1,2,33,100,1,40,5,8,0.24335,-0.483,move,rd,5,"[3, 0]","[4, 1]",False,True
0,1,33,100,1,40,6,2,0.46304999999999996,0.417,move,ru,5,"[7, 9]","[8, 8]",False,True
1,2,33,100,1,40,6,5,0.46304999999999996,-0.083,move,r,5,"[4, 1]","[5, 1]",False,True
0,1,33,100,1,40,7,7,0.8816500000000002,-0.083,move,d,5,"[8, 8]","[8, 9]",False,True
1,2,33,100,1,40,7,12,0.8816500000000002,0.167,remove,l,5,"[5, 1]","[4, 1]",False,True
0,1,33,100,1,40,8,3,0.33980000000000005,-0.417,move,l,5,"[8, 9]","[7, 9]",False,True
1,2,33,100,1,40,8,12,0.33980000000000005,-0.083,remove,l,2,"[5, 1]","[4, 1]",False,True
0,1,33,100,1,40,9,9,0.7439499999999999,0.5,remove,lu,5,"[7, 9]","[6, 8]",False,True
1,2,33,100,1,40,9,2,0.7439499999999999,-0.383,move,ru,5,"[5, 1]","[6, 0]",False,True
0,1,33,100,1,40,10,12,0.66315,-0.417,remove,l,2,"[7, 9]","[6, 9]",False,True
1,2,33,100,1,40,10,0,0.66315,-0.083,move,lu,1,"[6, 0]","[5, -1]",False,True
0,1,33,100,1,40,11,14,0.0632,0.2,remove,ld,1,"[7, 9]","[6, 10]",False,True
1,2,33,100,1,40,11,2,0.0632,-0.15,move,ru,1,"[6, 0]","[7, -1]",False,True
0,1,33,100,1,40,12,14,0.21460000000000004,-0.733,remove,ld,1,"[7, 9]","[6, 10]",False,True
1,2,33,100,1,40,12,13,0.21460000000000004,-0.567,remove,r,2,"[6, 0]","[7, 0]",False,True
0,1,33,100,1,40,13,10,0.3298999999999999,-0.817,remove,u,5,"[7, 9]","[7, 8]",False,True
1,2,33,100,1,40,13,12,0.3298999999999999,-0.383,remove,l,2,"[6, 0]","[5, 0]",False,True
0,1,33,100,1,40,14,4,0.04925000000000001,0.583,move,z,5,"[7, 9]","[7, 9]",False,True
1,2,33,100,1,40,14,14,0.04925000000000001,-0.383,remove,ld,5,"[6, 0]","[5, 1]",False,True
0,1,33,100,1,40,15,1,0.095,0.0,move,u,5,"[7, 9]","[7, 8]",False,True
1,2,33,100,1,40,15,7,0.095,0.167,move,d,5,"[6, 0]","[6, 1]",False,True
0,1,33,100,1,40,16,1,0.0805,-0.167,move,u,5,"[7, 8]","[7, 7]",False,True
1,2,33,100,1,40,16,15,0.0805,-0.25,remove,d,2,"[6, 1]","[6, 2]",False,True
0,1,33,100,1,40,17,9,0.15449999999999997,0.667,remove,lu,2,"[7, 7]","[6, 6]",False,True
1,2,33,100,1,40,17,8,0.15449999999999997,0.2,move,rd,5,"[6, 1]","[7, 2]",False,True
0,1,33,100,1,40,18,14,0.1844,-0.8,remove,ld,2,"[7, 7]","[6, 8]",False,True
1,2,33,100,1,40,18,9,0.1844,-0.333,remove,lu,5,"[7, 2]","[6, 1]",False,True
0,1,33,100,1,40,19,0,0.09555,-0.133,move,lu,5,"[7, 7]","[6, 6]",False,True
1,2,33,100,1,40,19,4,0.09555,0.167,move,z,5,"[7, 2]","[7, 2]",False,True
0,1,33,100,1,40,20,0,0.26655,-0.167,move,lu,5,"[6, 6]","[5, 5]",False,True
1,2,33,100,1,40,20,4,0.26655,-0.167,move,z,5,"[7, 2]","[7, 2]",False,True
0,1,33,100,1,40,21,4,0.10805000000000001,-0.417,move,z,5,"[5, 5]","[5, 5]",False,True
1,2,33,100,1,40,21,0,0.10805000000000001,-0.333,move,lu,5,"[7, 2]","[6, 1]",False,True
0,1,33,100,1,40,22,14,0.27985000000000004,0.5,remove,ld,2,"[5, 5]","[4, 6]",False,True
1,2,33,100,1,40,22,8,0.27985000000000004,0.75,move,rd,5,"[6, 1]","[7, 2]",False,True
0,1,33,100,1,40,23,7,0.30515,-0.217,move,d,5,"[5, 5]","[5, 6]",False,True
1,2,33,100,1,40,23,12,0.30515,-0.583,remove,l,2,"[7, 2]","[6, 2]",False,True
0,1,33,100,1,40,24,7,0.15854999999999997,-0.25,move,d,5,"[5, 6]","[5, 7]",False,True
1,2,33,100,1,40,24,2,0.15854999999999997,-0.05,move,ru,5,"[7, 2]","[8, 1]",False,True
0,1,33,100,1,40,25,5,0.20360000000000006,0.25,move,r,5,"[5, 7]","[6, 7]",False,True
1,2,33,100,1,40,25,15,0.20360000000000006,0.5,remove,d,2,"[8, 1]","[8, 2]",False,True
0,1,33,100,1,40,26,7,0.25970000000000004,-0.167,move,d,5,"[6, 7]","[6, 8]",False,True
1,2,33,100,1,40,26,3,0.25970000000000004,-1.133,move,l,5,"[8, 1]","[7, 1]",False,True
0,1,33,100,1,40,27,14,0.1197,0.667,remove,ld,2,"[6, 8]","[5, 9]",False,True
1,2,33,100,1,40,27,10,0.1197,1.083,remove,u,2,"[7, 1]","[7, 0]",False,True
0,1,33,100,1,40,28,6,0.16924999999999998,-0.383,move,ld,5,"[6, 8]","[5, 9]",False,True
1,2,33,100,1,40,28,7,0.16924999999999998,-0.8,move,d,5,"[7, 1]","[7, 2]",False,True
0,1,33,100,1,40,29,13,0.1767,-0.25,remove,r,2,"[5, 9]","[6, 9]",False,True
1,2,33,100,1,40,29,7,0.1767,-0.25,move,d,5,"[7, 2]","[7, 3]",False,True
0,1,33,100,1,40,30,13,0.1434,-0.3,remove,r,2,"[5, 9]","[6, 9]",False,True
1,2,33,100,1,40,30,8,0.1434,-0.333,move,rd,5,"[7, 3]","[8, 4]",False,True
0,1,33,100,1,40,31,12,0.2225,-1.383,remove,l,2,"[5, 9]","[4, 9]",False,True
1,2,33,100,1,40,31,13,0.2225,-0.083,remove,r,2,"[8, 4]","[9, 4]",False,True
0,1,33,100,1,40,32,12,0.23815000000000003,0.7,remove,l,2,"[5, 9]","[4, 9]",False,True
1,2,33,100,1,40,32,14,0.23815000000000003,0.033,remove,ld,2,"[8, 4]","[7, 5]",False,True
0,1,33,100,1,40,33,0,0.23215,-0.8,move,lu,5,"[5, 9]","[4, 8]",False,True
1,2,33,100,1,40,33,16,0.23215,0.033,remove,rd,2,"[8, 4]","[9, 5]",False,True
0,1,33,100,1,40,34,5,0.21710000000000002,0.917,move,r,5,"[4, 8]","[5, 8]",False,True
1,2,33,100,1,40,34,10,0.21710000000000002,-0.467,remove,u,2,"[8, 4]","[8, 3]",False,True
0,1,33,100,1,40,35,6,0.2565,-0.417,move,ld,5,"[5, 8]","[4, 9]",False,True
1,2,33,100,1,40,35,16,0.2565,-0.633,remove,rd,2,"[8, 4]","[9, 5]",False,True
0,1,33,100,1,40,36,9,0.42565,0.583,remove,lu,2,"[4, 9]","[3, 8]",False,True
1,2,33,100,1,40,36,13,0.42565,-0.05,remove,r,2,"[8, 4]","[9, 4]",False,True
0,1,33,100,1,40,37,7,0.26065,-0.8,move,d,1,"[4, 9]","[4, 10]",False,True
1,2,33,100,1,40,37,0,0.26065,-0.3,move,lu,5,"[8, 4]","[7, 3]",False,True
0,1,33,100,1,40,38,0,0.27155000000000007,-0.983,move,lu,5,"[4, 9]","[3, 8]",False,True
1,2,33,100,1,40,38,5,0.27155000000000007,-0.417,move,r,5,"[7, 3]","[8, 3]",False,True
0,1,33,100,1,40,39,9,0.2185,1.583,remove,lu,2,"[3, 8]","[2, 7]",False,True
1,2,33,100,1,40,39,16,0.2185,0.167,remove,rd,2,"[8, 3]","[9, 4]",False,True
0,1,33,100,1,40,40,11,0.2915,-1.217,remove,ru,2,"[3, 8]","[4, 7]",False,True
1,2,33,100,1,40,40,1,0.2915,-0.55,move,u,5,"[8, 3]","[8, 2]",False,True
0,1,33,100,2,40,1,8,0.42714999999999986,-0.667,move,rd,5,"[1, 1]","[2, 2]",False,True
1,2,33,100,2,40,1,7,0.42714999999999986,-0.417,move,d,5,"[6, 7]","[6, 8]",False,True
0,1,33,100,2,40,2,4,0.17274999999999996,0.167,move,z,5,"[2, 2]","[2, 2]",False,True
1,2,33,100,2,40,2,6,0.17274999999999996,0.0,move,ld,1,"[6, 8]","[5, 9]",False,True
0,1,33,100,2,40,3,7,0.1817,0.083,move,d,5,"[2, 2]","[2, 3]",False,True
1,2,33,100,2,40,3,5,0.1817,-0.233,move,r,5,"[6, 8]","[7, 8]",False,True
