,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,6,100,1,36,1,5,1.1329500000000001,-0.667,move,r,5,"[1, 2]","[2, 2]",False,True
1,2,6,100,1,36,1,9,1.1329500000000001,-0.667,remove,lu,2,"[9, 6]","[8, 5]",False,True
0,1,6,100,1,36,2,10,0.3492,0.417,remove,u,2,"[2, 2]","[2, 1]",False,True
1,2,6,100,1,36,2,12,0.3492,0.033,remove,l,2,"[9, 6]","[8, 6]",False,True
0,1,6,100,1,36,3,15,0.9795999999999999,-0.467,remove,d,2,"[2, 2]","[2, 3]",False,True
1,2,6,100,1,36,3,13,0.9795999999999999,-0.633,remove,r,2,"[9, 6]","[10, 6]",False,True
0,1,6,100,1,36,4,5,0.4035,-0.3,move,r,5,"[2, 2]","[3, 2]",False,True
1,2,6,100,1,36,4,15,0.4035,-0.217,remove,d,2,"[9, 6]","[9, 7]",False,True
0,1,6,100,1,36,5,4,0.6867000000000001,-0.083,move,z,5,"[3, 2]","[3, 2]",False,True
1,2,6,100,1,36,5,16,0.6867000000000001,-0.383,remove,rd,2,"[9, 6]","[10, 7]",False,True
0,1,6,100,1,36,6,15,0.22719999999999999,-0.167,remove,d,2,"[3, 2]","[3, 3]",False,True
1,2,6,100,1,36,6,12,0.22719999999999999,-0.3,remove,l,2,"[9, 6]","[8, 6]",False,True
0,1,6,100,1,36,7,5,0.5513,0.117,move,r,5,"[3, 2]","[4, 2]",False,True
1,2,6,100,1,36,7,1,0.5513,-0.05,move,u,5,"[9, 6]","[9, 5]",False,True
0,1,6,100,1,36,8,0,0.9783000000000002,0.083,move,lu,5,"[4, 2]","[3, 1]",False,True
1,2,6,100,1,36,8,2,0.9783000000000002,-0.333,move,ru,5,"[9, 5]","[10, 4]",False,True
0,1,6,100,1,36,9,1,0.60325,-0.25,move,u,5,"[3, 1]","[3, 0]",False,True
1,2,6,100,1,36,9,7,0.60325,0.333,move,d,5,"[10, 4]","[10, 5]",False,True
0,1,6,100,1,36,10,16,0.21105000000000002,0.667,remove,rd,2,"[3, 0]","[4, 1]",False,True
1,2,6,100,1,36,10,11,0.21105000000000002,-0.333,remove,ru,1,"[10, 5]","[11, 4]",False,True
0,1,6,100,1,36,11,15,0.25935,-1.133,remove,d,5,"[3, 0]","[3, 1]",False,True
1,2,6,100,1,36,11,12,0.25935,0.183,remove,l,5,"[10, 5]","[9, 5]",False,True
0,1,6,100,1,36,12,14,0.76405,0.25,remove,ld,2,"[3, 0]","[2, 1]",False,True
1,2,6,100,1,36,12,16,0.76405,-0.25,remove,rd,1,"[10, 5]","[11, 6]",False,True
0,1,6,100,1,36,13,15,0.25825,-0.133,remove,d,2,"[3, 0]","[3, 1]",False,True
1,2,6,100,1,36,13,2,0.25825,-0.483,move,ru,1,"[10, 5]","[11, 4]",False,True
0,1,6,100,1,36,14,4,0.2658,-0.467,move,z,5,"[3, 0]","[3, 0]",False,True
1,2,6,100,1,36,14,6,0.2658,-0.15,move,ld,5,"[10, 5]","[9, 6]",False,True
0,1,6,100,1,36,15,14,0.32645,-0.083,remove,ld,2,"[3, 0]","[2, 1]",False,True
1,2,6,100,1,36,15,7,0.32645,-0.25,move,d,5,"[9, 6]","[9, 7]",False,True
0,1,6,100,1,36,16,16,0.11779999999999999,-0.05,remove,rd,2,"[3, 0]","[4, 1]",False,True
1,2,6,100,1,36,16,12,0.11779999999999999,-0.083,remove,l,2,"[9, 7]","[8, 7]",False,True
0,1,6,100,1,36,17,1,0.10665,-0.383,move,u,1,"[3, 0]","[3, -1]",False,True
1,2,6,100,1,36,17,10,0.10665,-0.383,remove,u,5,"[9, 7]","[9, 6]",False,True
0,1,6,100,1,36,18,7,0.41384999999999994,-0.65,move,d,5,"[3, 0]","[3, 1]",False,True
1,2,6,100,1,36,18,14,0.41384999999999994,0.25,remove,ld,2,"[9, 7]","[8, 8]",False,True
0,1,6,100,1,36,19,0,0.1659,0.333,move,lu,5,"[3, 1]","[2, 0]",False,True
1,2,6,100,1,36,19,15,0.1659,-0.133,remove,d,2,"[9, 7]","[9, 8]",False,True
0,1,6,100,1,36,20,3,0.11510000000000001,-0.167,move,l,5,"[2, 0]","[1, 0]",False,True
1,2,6,100,1,36,20,4,0.11510000000000001,-0.717,move,z,5,"[9, 7]","[9, 7]",False,True
0,1,6,100,1,36,21,1,0.50445,0.333,move,u,1,"[1, 0]","[1, -1]",False,True
1,2,6,100,1,36,21,3,0.50445,0.25,move,l,5,"[9, 7]","[8, 7]",False,True
0,1,6,100,1,36,22,14,0.1709,-0.4,remove,ld,2,"[1, 0]","[0, 1]",False,True
1,2,6,100,1,36,22,1,0.1709,0.5,move,u,5,"[8, 7]","[8, 6]",False,True
0,1,6,100,1,36,23,6,0.2151,-0.133,move,ld,5,"[1, 0]","[0, 1]",False,True
1,2,6,100,1,36,23,10,0.2151,-0.417,remove,u,2,"[8, 6]","[8, 5]",False,True
0,1,6,100,1,36,24,15,0.13265,-0.583,remove,d,2,"[0, 1]","[0, 2]",False,True
1,2,6,100,1,36,24,16,0.13265,-0.133,remove,rd,5,"[8, 6]","[9, 7]",False,True
0,1,6,100,1,36,25,1,0.1075,0.033,move,u,5,"[0, 1]","[0, 0]",False,True
1,2,6,100,1,36,25,7,0.1075,-0.167,move,d,5,"[8, 6]","[8, 7]",False,True
0,1,6,100,1,36,26,2,0.34954999999999997,-0.583,move,ru,1,"[0, 0]","[1, -1]",False,True
1,2,6,100,1,36,26,16,0.34954999999999997,0.25,remove,rd,2,"[8, 7]","[9, 8]",False,True
0,1,6,100,1,36,27,12,0.5317000000000001,-0.233,remove,l,1,"[0, 0]","[-1, 0]",False,True
1,2,6,100,1,36,27,14,0.5317000000000001,-0.717,remove,ld,2,"[8, 7]","[7, 8]",False,True
0,1,6,100,1,36,28,5,0.31855,-0.817,move,r,5,"[0, 0]","[1, 0]",False,True
1,2,6,100,1,36,28,5,0.31855,-0.467,move,r,5,"[8, 7]","[9, 7]",False,True
0,1,6,100,1,36,29,9,0.26310000000000006,0.917,remove,lu,1,"[1, 0]","[0, -1]",False,True
1,2,6,100,1,36,29,6,0.26310000000000006,0.083,move,ld,5,"[9, 7]","[8, 8]",False,True
0,1,6,100,1,36,30,2,0.68615,-1.317,move,ru,1,"[1, 0]","[2, -1]",False,True
1,2,6,100,1,36,30,15,0.68615,0.0,remove,d,1,"[8, 8]","[8, 9]",False,True
0,1,6,100,1,36,31,0,0.27240000000000003,0.017,move,lu,1,"[1, 0]","[0, -1]",False,True
1,2,6,100,1,36,31,7,0.27240000000000003,-0.067,move,d,1,"[8, 8]","[8, 9]",False,True
0,1,6,100,1,36,32,4,0.16335000000000002,0.517,move,z,5,"[1, 0]","[1, 0]",False,True
1,2,6,100,1,36,32,3,0.16335000000000002,-0.317,move,l,5,"[8, 8]","[7, 8]",False,True
0,1,6,100,1,36,33,6,0.29880000000000007,-0.917,move,ld,5,"[1, 0]","[0, 1]",False,True
1,2,6,100,1,36,33,16,0.29880000000000007,-0.333,remove,rd,1,"[7, 8]","[8, 9]",False,True
0,1,6,100,1,36,34,15,0.18295,0.917,remove,d,2,"[0, 1]","[0, 2]",False,True
1,2,6,100,1,36,34,3,0.18295,-0.65,move,l,5,"[7, 8]","[6, 8]",False,True
0,1,6,100,1,36,35,0,0.4386,-0.717,move,lu,1,"[0, 1]","[-1, 0]",False,True
1,2,6,100,1,36,35,7,0.4386,0.5,move,d,1,"[6, 8]","[6, 9]",False,True
0,1,6,100,1,36,36,2,0.63755,-0.067,move,ru,5,"[0, 1]","[1, 0]",False,True
1,2,6,100,1,36,36,6,0.63755,0.017,move,ld,1,"[6, 8]","[5, 9]",False,True
0,1,6,100,2,42,1,4,0.24054999999999996,-0.667,move,z,5,"[9, 1]","[9, 1]",False,True
1,2,6,100,2,42,1,1,0.24054999999999996,-0.5,move,u,5,"[1, 8]","[1, 7]",False,True
0,1,6,100,2,42,2,14,0.22704999999999997,0.25,remove,ld,2,"[9, 1]","[8, 2]",False,True
1,2,6,100,2,42,2,16,0.22704999999999997,0.167,remove,rd,2,"[1, 7]","[2, 8]",False,True
0,1,6,100,2,42,3,0,0.1997,-0.3,move,lu,5,"[9, 1]","[8, 0]",False,True
1,2,6,100,2,42,3,12,0.1997,-0.217,remove,l,2,"[1, 7]","[0, 7]",False,True
0,1,6,100,2,42,4,16,0.20575000000000004,0.083,remove,rd,5,"[8, 0]","[9, 1]",False,True
1,2,6,100,2,42,4,3,0.20575000000000004,-0.717,move,l,5,"[1, 7]","[0, 7]",False,True
0,1,6,100,2,42,5,8,0.19924999999999998,-0.333,move,rd,5,"[8, 0]","[9, 1]",False,True
1,2,6,100,2,42,5,12,0.19924999999999998,0.417,remove,l,1,"[0, 7]","[-1, 7]",False,True
0,1,6,100,2,42,6,16,0.2693,0.167,remove,rd,2,"[9, 1]","[10, 2]",False,True
1,2,6,100,2,42,6,1,0.2693,-0.567,move,u,5,"[0, 7]","[0, 6]",False,True
0,1,6,100,2,42,7,2,0.21509999999999999,-0.217,move,ru,5,"[9, 1]","[10, 0]",False,True
1,2,6,100,2,42,7,16,0.21509999999999999,-0.083,remove,rd,5,"[0, 6]","[1, 7]",False,True
0,1,6,100,2,42,8,13,0.09524999999999999,0.0,remove,r,1,"[10, 0]","[11, 0]",False,True
1,2,6,100,2,42,8,7,0.09524999999999999,0.083,move,d,5,"[0, 6]","[0, 7]",False,True
0,1,6,100,2,42,9,12,0.34725000000000006,-0.65,remove,l,2,"[10, 0]","[9, 0]",False,True
1,2,6,100,2,42,9,0,0.34725000000000006,-0.167,move,lu,1,"[0, 7]","[-1, 6]",False,True
0,1,6,100,2,42,10,1,0.08049999999999999,0.033,move,u,1,"[10, 0]","[10, -1]",False,True
1,2,6,100,2,42,10,8,0.08049999999999999,-0.15,move,rd,5,"[0, 7]","[1, 8]",False,True
0,1,6,100,2,42,11,8,0.10565,-0.4,move,rd,1,"[10, 0]","[11, 1]",False,True
1,2,6,100,2,42,11,15,0.10565,0.083,remove,d,2,"[1, 8]","[1, 9]",False,True
0,1,6,100,2,42,12,2,0.1496,-0.4,move,ru,1,"[10, 0]","[11, -1]",False,True
1,2,6,100,2,42,12,8,0.1496,-0.467,move,rd,5,"[1, 8]","[2, 9]",False,True
0,1,6,100,2,42,13,4,0.06655,-0.65,move,z,5,"[10, 0]","[10, 0]",False,True
1,2,6,100,2,42,13,11,0.06655,-0.167,remove,ru,2,"[2, 9]","[3, 8]",False,True
0,1,6,100,2,42,14,7,0.0714,0.167,move,d,5,"[10, 0]","[10, 1]",False,True
1,2,6,100,2,42,14,11,0.0714,0.033,remove,ru,2,"[2, 9]","[3, 8]",False,True
0,1,6,100,2,42,15,8,0.065,0.083,move,rd,1,"[10, 1]","[11, 2]",False,True
1,2,6,100,2,42,15,14,0.065,-0.133,remove,ld,1,"[2, 9]","[1, 10]",False,True
0,1,6,100,2,42,16,16,0.05935,-0.65,remove,rd,1,"[10, 1]","[11, 2]",False,True
1,2,6,100,2,42,16,3,0.05935,-0.817,move,l,5,"[2, 9]","[1, 9]",False,True
0,1,6,100,2,42,17,5,0.19939999999999997,-0.567,move,r,1,"[10, 1]","[11, 1]",False,True
1,2,6,100,2,42,17,9,0.19939999999999997,0.0,remove,lu,2,"[1, 9]","[0, 8]",False,True
0,1,6,100,2,42,18,9,0.06105000000000001,0.017,remove,lu,2,"[10, 1]","[9, 0]",False,True
1,2,6,100,2,42,18,11,0.06105000000000001,-0.55,remove,ru,2,"[1, 9]","[2, 8]",False,True
0,1,6,100,2,42,19,2,0.23934999999999995,-0.467,move,ru,1,"[10, 1]","[11, 0]",False,True
1,2,6,100,2,42,19,5,0.23934999999999995,0.283,move,r,5,"[1, 9]","[2, 9]",False,True
0,1,6,100,2,42,20,14,0.07665000000000001,-0.4,remove,ld,2,"[10, 1]","[9, 2]",False,True
1,2,6,100,2,42,20,4,0.07665000000000001,-0.083,move,z,5,"[2, 9]","[2, 9]",False,True
0,1,6,100,2,42,21,10,0.06710000000000002,-0.217,remove,u,5,"[10, 1]","[10, 0]",False,True
1,2,6,100,2,42,21,12,0.06710000000000002,-0.083,remove,l,5,"[2, 9]","[1, 9]",False,True
0,1,6,100,2,42,22,15,0.0693,-0.167,remove,d,2,"[10, 1]","[10, 2]",False,True
1,2,6,100,2,42,22,9,0.0693,0.0,remove,lu,5,"[2, 9]","[1, 8]",False,True
0,1,6,100,2,42,23,14,0.07724999999999999,-0.217,remove,ld,2,"[10, 1]","[9, 2]",False,True
1,2,6,100,2,42,23,6,0.07724999999999999,-0.167,move,ld,1,"[2, 9]","[1, 10]",False,True
0,1,6,100,2,42,24,0,0.05495,0.033,move,lu,5,"[10, 1]","[9, 0]",False,True
1,2,6,100,2,42,24,10,0.05495,-0.233,remove,u,2,"[2, 9]","[2, 8]",False,True
0,1,6,100,2,42,25,11,0.09140000000000001,-0.333,remove,ru,1,"[9, 0]","[10, -1]",False,True
1,2,6,100,2,42,25,5,0.09140000000000001,-0.55,move,r,5,"[2, 9]","[3, 9]",False,True
0,1,6,100,2,42,26,2,0.1091,-0.9,move,ru,1,"[9, 0]","[10, -1]",False,True
1,2,6,100,2,42,26,7,0.1091,0.25,move,d,1,"[3, 9]","[3, 10]",False,True
0,1,6,100,2,42,27,3,0.3055,0.1,move,l,5,"[9, 0]","[8, 0]",False,True
1,2,6,100,2,42,27,3,0.3055,-0.233,move,l,5,"[3, 9]","[2, 9]",False,True
0,1,6,100,2,42,28,8,0.28190000000000004,-0.333,move,rd,5,"[8, 0]","[9, 1]",False,True
1,2,6,100,2,42,28,14,0.28190000000000004,-0.083,remove,ld,1,"[2, 9]","[1, 10]",False,True
0,1,6,100,2,42,29,16,0.08775000000000002,0.667,remove,rd,2,"[9, 1]","[10, 2]",False,True
1,2,6,100,2,42,29,10,0.08775000000000002,-1.067,remove,u,2,"[2, 9]","[2, 8]",False,True
0,1,6,100,2,42,30,5,0.1311,-0.883,move,r,5,"[9, 1]","[10, 1]",False,True
