,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,14,100,1,43,1,16,0.56115,-0.333,remove,rd,2,"[8, 2]","[9, 3]",False,True
1,2,14,100,1,43,1,9,0.56115,-0.5,remove,lu,2,"[1, 6]","[0, 5]",False,True
0,1,14,100,1,43,2,7,0.6412000000000001,-0.383,move,d,5,"[8, 2]","[8, 3]",False,True
1,2,14,100,1,43,2,14,0.6412000000000001,-0.217,remove,ld,2,"[1, 6]","[0, 7]",False,True
0,1,14,100,1,43,3,4,0.7491,0.0,move,z,5,"[8, 3]","[8, 3]",False,True
1,2,14,100,1,43,3,8,0.7491,-0.217,move,rd,5,"[1, 6]","[2, 7]",False,True
0,1,14,100,1,43,4,7,0.4847499999999999,-0.417,move,d,5,"[8, 3]","[8, 4]",False,True
1,2,14,100,1,43,4,12,0.4847499999999999,0.0,remove,l,2,"[2, 7]","[1, 7]",False,True
0,1,14,100,1,43,5,15,0.3980499999999999,-0.167,remove,d,2,"[8, 4]","[8, 5]",False,True
1,2,14,100,1,43,5,10,0.3980499999999999,-0.717,remove,u,2,"[2, 7]","[2, 6]",False,True
0,1,14,100,1,43,6,6,0.7351000000000001,0.2,move,ld,5,"[8, 4]","[7, 5]",False,True
1,2,14,100,1,43,6,2,0.7351000000000001,0.2,move,ru,5,"[2, 7]","[3, 6]",False,True
0,1,14,100,1,43,7,10,0.90145,0.333,remove,u,2,"[7, 5]","[7, 4]",False,True
1,2,14,100,1,43,7,13,0.90145,-0.25,remove,r,2,"[3, 6]","[4, 6]",False,True
0,1,14,100,1,43,8,9,1.1569,-0.383,remove,lu,2,"[7, 5]","[6, 4]",False,True
1,2,14,100,1,43,8,14,1.1569,-0.05,remove,ld,5,"[3, 6]","[2, 7]",False,True
0,1,14,100,1,43,9,14,0.49119999999999997,-0.883,remove,ld,2,"[7, 5]","[6, 6]",False,True
1,2,14,100,1,43,9,13,0.49119999999999997,-0.083,remove,r,2,"[3, 6]","[4, 6]",False,True
0,1,14,100,1,43,10,6,0.19949999999999998,-0.217,move,ld,5,"[7, 5]","[6, 6]",False,True
1,2,14,100,1,43,10,8,0.19949999999999998,-0.3,move,rd,5,"[3, 6]","[4, 7]",False,True
0,1,14,100,1,43,11,11,0.41835000000000006,0.417,remove,ru,5,"[6, 6]","[7, 5]",False,True
1,2,14,100,1,43,11,8,0.41835000000000006,-0.417,move,rd,5,"[4, 7]","[5, 8]",False,True
0,1,14,100,1,43,12,4,0.4949499999999999,-0.5,move,z,5,"[6, 6]","[6, 6]",False,True
1,2,14,100,1,43,12,5,0.4949499999999999,0.0,move,r,5,"[5, 8]","[6, 8]",False,True
0,1,14,100,1,43,13,6,0.6016999999999999,0.333,move,ld,5,"[6, 6]","[5, 7]",False,True
1,2,14,100,1,43,13,6,0.6016999999999999,0.083,move,ld,1,"[6, 8]","[5, 9]",False,True
0,1,14,100,1,43,14,16,0.9005499999999997,0.25,remove,rd,4,"[5, 7]","[6, 8]",False,True
1,2,14,100,1,43,14,9,0.9005499999999997,0.183,remove,lu,4,"[6, 8]","[5, 7]",False,True
0,1,14,100,1,43,15,1,0.5772999999999999,-0.35,move,u,5,"[5, 7]","[5, 6]",False,True
1,2,14,100,1,43,15,6,0.5772999999999999,-0.683,move,ld,1,"[6, 8]","[5, 9]",False,True
0,1,14,100,1,43,16,5,0.14999999999999997,0.083,move,r,5,"[5, 6]","[6, 6]",False,True
1,2,14,100,1,43,16,0,0.14999999999999997,-0.233,move,lu,3,"[6, 8]","[5, 7]",False,True
0,1,14,100,1,43,17,5,0.55945,-0.25,move,r,5,"[6, 6]","[7, 6]",False,True
1,2,14,100,1,43,17,2,0.55945,0.217,move,ru,5,"[6, 8]","[7, 7]",False,True
0,1,14,100,1,43,18,7,0.3477499999999999,0.5,move,d,4,"[7, 6]","[7, 7]",False,True
1,2,14,100,1,43,18,14,0.3477499999999999,-0.167,remove,ld,5,"[7, 7]","[6, 8]",False,True
0,1,14,100,1,43,19,16,0.45255,-0.267,remove,rd,2,"[7, 6]","[8, 7]",False,True
1,2,14,100,1,43,19,10,0.45255,-0.5,remove,u,4,"[7, 7]","[7, 6]",False,True
0,1,14,100,1,43,20,10,0.26454999999999995,-0.3,remove,u,2,"[7, 6]","[7, 5]",False,True
1,2,14,100,1,43,20,15,0.26454999999999995,0.15,remove,d,2,"[7, 7]","[7, 8]",False,True
0,1,14,100,1,43,21,16,0.1578,-0.3,remove,rd,2,"[7, 6]","[8, 7]",False,True
1,2,14,100,1,43,21,8,0.1578,-0.133,move,rd,5,"[7, 7]","[8, 8]",False,True
0,1,14,100,1,43,22,11,0.3794,-0.967,remove,ru,2,"[7, 6]","[8, 5]",False,True
1,2,14,100,1,43,22,12,0.3794,0.083,remove,l,2,"[8, 8]","[7, 8]",False,True
0,1,14,100,1,43,23,15,0.41565,0.2,remove,d,5,"[7, 6]","[7, 7]",False,True
1,2,14,100,1,43,23,3,0.41565,-0.717,move,l,5,"[8, 8]","[7, 8]",False,True
0,1,14,100,1,43,24,8,0.25965,0.333,move,rd,5,"[7, 6]","[8, 7]",False,True
1,2,14,100,1,43,24,0,0.25965,0.083,move,lu,5,"[7, 8]","[6, 7]",False,True
0,1,14,100,1,43,25,16,0.7397,-0.083,remove,rd,2,"[8, 7]","[9, 8]",False,True
1,2,14,100,1,43,25,13,0.7397,0.167,remove,r,2,"[6, 7]","[7, 7]",False,True
0,1,14,100,1,43,26,11,0.225,-1.217,remove,ru,2,"[8, 7]","[9, 6]",False,True
1,2,14,100,1,43,26,8,0.225,-0.3,move,rd,5,"[6, 7]","[7, 8]",False,True
0,1,14,100,1,43,27,3,0.3365,0.367,move,l,5,"[8, 7]","[7, 7]",False,True
1,2,14,100,1,43,27,3,0.3365,0.167,move,l,5,"[7, 8]","[6, 8]",False,True
0,1,14,100,1,43,28,3,0.19990000000000002,0.25,move,l,3,"[7, 7]","[6, 7]",False,True
1,2,14,100,1,43,28,13,0.19990000000000002,0.167,remove,r,5,"[6, 8]","[7, 8]",False,True
0,1,14,100,1,43,29,7,0.76945,-0.367,move,d,5,"[7, 7]","[7, 8]",False,True
1,2,14,100,1,43,29,4,0.76945,-0.667,move,z,5,"[6, 8]","[6, 8]",False,True
0,1,14,100,1,43,30,5,0.44485,0.167,move,r,3,"[7, 8]","[8, 8]",False,True
1,2,14,100,1,43,30,12,0.44485,0.25,remove,l,5,"[6, 8]","[5, 8]",False,True
0,1,14,100,1,43,31,0,3.4696500000000006,-0.867,move,lu,3,"[7, 8]","[6, 7]",False,True
1,2,14,100,1,43,31,6,3.4696500000000006,0.25,move,ld,1,"[6, 8]","[5, 9]",False,True
0,1,14,100,1,43,32,9,0.5328499999999999,-0.2,remove,lu,5,"[7, 8]","[6, 7]",True,True
1,2,14,100,1,43,32,1,0.5328499999999999,-0.233,move,u,5,"[6, 8]","[6, 7]",True,True
0,1,14,100,1,43,33,14,0.19029999999999997,1.0,remove,ld,1,"[7, 8]","[6, 9]",False,True
1,2,14,100,1,43,33,11,0.19029999999999997,-0.333,remove,ru,5,"[6, 8]","[7, 7]",False,True
0,1,14,100,1,43,34,5,0.1366,-0.4,move,r,3,"[7, 8]","[8, 8]",False,True
1,2,14,100,1,43,34,12,0.1366,0.5,remove,l,2,"[6, 8]","[5, 8]",False,True
0,1,14,100,1,43,35,9,0.5543000000000001,-0.95,remove,lu,5,"[7, 8]","[6, 7]",False,True
1,2,14,100,1,43,35,4,0.5543000000000001,-0.717,move,z,5,"[6, 8]","[6, 8]",False,True
0,1,14,100,1,43,36,16,0.71515,0.167,remove,rd,1,"[7, 8]","[8, 9]",False,True
1,2,14,100,1,43,36,16,0.71515,0.0,remove,rd,1,"[6, 8]","[7, 9]",False,True
0,1,14,100,1,43,37,13,0.4462,0.1,remove,r,5,"[7, 8]","[8, 8]",False,True
1,2,14,100,1,43,37,0,0.4462,-0.233,move,lu,3,"[6, 8]","[5, 7]",False,True
0,1,14,100,1,43,38,5,0.37895000000000006,-0.75,move,r,5,"[7, 8]","[8, 8]",False,True
1,2,14,100,1,43,38,9,0.37895000000000006,-0.867,remove,lu,5,"[6, 8]","[5, 7]",False,True
0,1,14,100,1,43,39,15,0.9638000000000002,0.333,remove,d,1,"[8, 8]","[8, 9]",False,True
1,2,14,100,1,43,39,12,0.9638000000000002,0.417,remove,l,2,"[6, 8]","[5, 8]",False,True
0,1,14,100,1,43,40,0,0.3759,-0.817,move,lu,5,"[8, 8]","[7, 7]",False,True
1,2,14,100,1,43,40,15,0.3759,-0.133,remove,d,1,"[6, 8]","[6, 9]",False,True
0,1,14,100,1,43,41,3,0.42705000000000004,0.667,move,l,5,"[7, 7]","[6, 7]",False,True
1,2,14,100,1,43,41,5,0.42705000000000004,-0.233,move,r,3,"[6, 8]","[7, 8]",False,True
0,1,14,100,1,43,42,2,0.5576499999999999,-0.083,move,ru,5,"[6, 7]","[7, 6]",False,True
1,2,14,100,1,43,42,14,0.5576499999999999,-0.617,remove,ld,1,"[6, 8]","[5, 9]",False,True
0,1,14,100,1,43,43,3,0.4781000000000001,-0.5,move,l,5,"[7, 6]","[6, 6]",False,True
