,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,26,100,1,39,1,8,0.38639999999999997,-0.5,move,rd,5,"[6, 6]","[7, 7]",False,True
1,2,26,100,1,39,1,13,0.38639999999999997,-0.667,remove,r,2,"[1, 1]","[2, 1]",False,True
0,1,26,100,1,39,2,7,0.16925,0.167,move,d,1,"[7, 7]","[7, 8]",False,True
1,2,26,100,1,39,2,7,0.16925,-0.05,move,d,5,"[1, 1]","[1, 2]",False,True
0,1,26,100,1,39,3,10,0.23305000000000003,-0.65,remove,u,2,"[7, 7]","[7, 6]",False,True
1,2,26,100,1,39,3,14,0.23305000000000003,0.083,remove,ld,2,"[1, 2]","[0, 3]",False,True
0,1,26,100,1,39,4,3,0.49965000000000004,-0.217,move,l,5,"[7, 7]","[6, 7]",False,True
1,2,26,100,1,39,4,10,0.49965000000000004,-0.467,remove,u,5,"[1, 2]","[1, 1]",False,True
0,1,26,100,1,39,5,6,0.27735,-0.167,move,ld,1,"[6, 7]","[5, 8]",False,True
1,2,26,100,1,39,5,14,0.27735,0.167,remove,ld,2,"[1, 2]","[0, 3]",False,True
0,1,26,100,1,39,6,8,0.22675,0.267,move,rd,1,"[6, 7]","[7, 8]",False,True
1,2,26,100,1,39,6,5,0.22675,-0.383,move,r,5,"[1, 2]","[2, 2]",False,True
0,1,26,100,1,39,7,14,0.14484999999999998,-0.983,remove,ld,1,"[6, 7]","[5, 8]",False,True
1,2,26,100,1,39,7,8,0.14484999999999998,-0.167,move,rd,5,"[2, 2]","[3, 3]",False,True
0,1,26,100,1,39,8,14,0.23034999999999992,-0.233,remove,ld,1,"[6, 7]","[5, 8]",False,True
1,2,26,100,1,39,8,4,0.23034999999999992,0.333,move,z,5,"[3, 3]","[3, 3]",False,True
0,1,26,100,1,39,9,16,0.0835,-0.483,remove,rd,1,"[6, 7]","[7, 8]",False,True
1,2,26,100,1,39,9,2,0.0835,0.0,move,ru,5,"[3, 3]","[4, 2]",False,True
0,1,26,100,1,39,10,3,0.17365,-0.317,move,l,5,"[6, 7]","[5, 7]",False,True
1,2,26,100,1,39,10,2,0.17365,-0.583,move,ru,5,"[4, 2]","[5, 1]",False,True
0,1,26,100,1,39,11,2,0.27469999999999994,-0.667,move,ru,5,"[5, 7]","[6, 6]",False,True
1,2,26,100,1,39,11,8,0.27469999999999994,0.5,move,rd,5,"[5, 1]","[6, 2]",False,True
0,1,26,100,1,39,12,7,0.3542,0.667,move,d,5,"[6, 6]","[6, 7]",False,True
1,2,26,100,1,39,12,7,0.3542,0.167,move,d,5,"[6, 2]","[6, 3]",False,True
0,1,26,100,1,39,13,4,0.10959999999999999,0.417,move,z,5,"[6, 7]","[6, 7]",False,True
1,2,26,100,1,39,13,11,0.10959999999999999,0.167,remove,ru,2,"[6, 3]","[7, 2]",False,True
0,1,26,100,1,39,14,7,0.21244999999999997,-0.083,move,d,1,"[6, 7]","[6, 8]",False,True
1,2,26,100,1,39,14,0,0.21244999999999997,-1.05,move,lu,5,"[6, 3]","[5, 2]",False,True
0,1,26,100,1,39,15,3,0.17945,-0.65,move,l,5,"[6, 7]","[5, 7]",False,True
1,2,26,100,1,39,15,12,0.17945,-0.167,remove,l,5,"[5, 2]","[4, 2]",False,True
0,1,26,100,1,39,16,4,0.184,-0.333,move,z,5,"[5, 7]","[5, 7]",False,True
1,2,26,100,1,39,16,6,0.184,0.833,move,ld,5,"[5, 2]","[4, 3]",False,True
0,1,26,100,1,39,17,7,0.2751,0.25,move,d,1,"[5, 7]","[5, 8]",False,True
1,2,26,100,1,39,17,14,0.2751,-0.5,remove,ld,2,"[4, 3]","[3, 4]",False,True
0,1,26,100,1,39,18,0,0.27209999999999995,-0.983,move,lu,5,"[5, 7]","[4, 6]",False,True
