,usrID,now_eval,num_epoch,now_epoch_n,num_turn,now_turn,calcAction,Loss,reward,do_motion,do_direction,is_possible,now_position,next_position,is_confliction,on_eps_zero
0,1,39,100,1,42,1,6,0.9830500000000002,-0.417,move,ld,5,"[1, 6]","[0, 7]",False,True
1,2,39,100,1,42,1,0,0.9830500000000002,-0.667,move,lu,5,"[9, 1]","[8, 0]",False,True
0,1,39,100,1,42,2,0,1.0381000000000002,-0.25,move,lu,1,"[0, 7]","[-1, 6]",False,True
1,2,39,100,1,42,2,14,1.0381000000000002,0.0,remove,ld,2,"[8, 0]","[7, 1]",False,True
0,1,39,100,1,42,3,13,1.0441000000000003,-0.233,remove,r,2,"[0, 7]","[1, 7]",False,True
1,2,39,100,1,42,3,1,1.0441000000000003,0.2,move,u,1,"[8, 0]","[8, -1]",False,True
0,1,39,100,1,42,4,12,0.2587499999999999,-0.05,remove,l,1,"[0, 7]","[-1, 7]",False,True
1,2,39,100,1,42,4,15,0.2587499999999999,-0.65,remove,d,2,"[8, 0]","[8, 1]",False,True
0,1,39,100,1,42,5,1,0.38595000000000007,-0.567,move,u,5,"[0, 7]","[0, 6]",False,True
1,2,39,100,1,42,5,14,0.38595000000000007,-0.467,remove,ld,2,"[8, 0]","[7, 1]",False,True
0,1,39,100,1,42,6,6,0.43050000000000005,-0.083,move,ld,1,"[0, 6]","[-1, 7]",False,True
1,2,39,100,1,42,6,10,0.43050000000000005,-0.217,remove,u,1,"[8, 0]","[8, -1]",False,True
0,1,39,100,1,42,7,3,1.3832,-0.067,move,l,1,"[0, 6]","[-1, 6]",False,True
1,2,39,100,1,42,7,8,1.3832,-0.233,move,rd,5,"[8, 0]","[9, 1]",False,True
0,1,39,100,1,42,8,1,0.2628,-0.65,move,u,5,"[0, 6]","[0, 5]",False,True
1,2,39,100,1,42,8,13,0.2628,0.167,remove,r,2,"[9, 1]","[10, 1]",False,True
0,1,39,100,1,42,9,12,0.17614999999999997,0.25,remove,l,1,"[0, 5]","[-1, 5]",False,True
1,2,39,100,1,42,9,15,0.17614999999999997,-0.467,remove,d,2,"[9, 1]","[9, 2]",False,True
0,1,39,100,1,42,10,3,0.17015,-0.9,move,l,1,"[0, 5]","[-1, 5]",False,True
1,2,39,100,1,42,10,12,0.17015,-0.383,remove,l,2,"[9, 1]","[8, 1]",False,True
0,1,39,100,1,42,11,1,0.32455000000000006,-0.483,move,u,5,"[0, 5]","[0, 4]",False,True
1,2,39,100,1,42,11,7,0.32455000000000006,-0.383,move,d,5,"[9, 1]","[9, 2]",False,True
0,1,39,100,1,42,12,14,0.16765000000000002,-0.25,remove,ld,1,"[0, 4]","[-1, 5]",False,True
1,2,39,100,1,42,12,1,0.16765000000000002,0.417,move,u,5,"[9, 2]","[9, 1]",False,True
0,1,39,100,1,42,13,3,0.12615,0.35,move,l,1,"[0, 4]","[-1, 4]",False,True
1,2,39,100,1,42,13,6,0.12615,-0.5,move,ld,5,"[9, 1]","[8, 2]",False,True
0,1,39,100,1,42,14,14,0.2355,-0.9,remove,ld,1,"[0, 4]","[-1, 5]",False,True
1,2,39,100,1,42,14,13,0.2355,-0.25,remove,r,5,"[8, 2]","[9, 2]",False,True
0,1,39,100,1,42,15,5,0.35245000000000004,-0.317,move,r,5,"[0, 4]","[1, 4]",False,True
1,2,39,100,1,42,15,12,0.35245000000000004,0.5,remove,l,2,"[8, 2]","[7, 2]",False,True
0,1,39,100,1,42,16,13,0.10369999999999999,0.167,remove,r,2,"[1, 4]","[2, 4]",False,True
1,2,39,100,1,42,16,1,0.10369999999999999,-0.55,move,u,5,"[8, 2]","[8, 1]",False,True
0,1,39,100,1,42,17,1,0.22399999999999998,-0.133,move,u,5,"[1, 4]","[1, 3]",False,True
1,2,39,100,1,42,17,1,0.22399999999999998,0.583,move,u,5,"[8, 1]","[8, 0]",False,True
0,1,39,100,1,42,18,1,0.14664999999999997,-0.417,move,u,5,"[1, 3]","[1, 2]",False,True
1,2,39,100,1,42,18,1,0.14664999999999997,-0.167,move,u,1,"[8, 0]","[8, -1]",False,True
0,1,39,100,1,42,19,9,0.26944999999999997,1.0,remove,lu,2,"[1, 2]","[0, 1]",False,True
1,2,39,100,1,42,19,1,0.26944999999999997,-0.15,move,u,1,"[8, 0]","[8, -1]",False,True
0,1,39,100,1,42,20,6,0.1262,-1.383,move,ld,5,"[1, 2]","[0, 3]",False,True
1,2,39,100,1,42,20,1,0.1262,-0.983,move,u,1,"[8, 0]","[8, -1]",False,True
0,1,39,100,1,42,21,13,0.5143499999999999,-0.333,remove,r,5,"[0, 3]","[1, 3]",False,True
1,2,39,100,1,42,21,15,0.5143499999999999,-0.067,remove,d,5,"[8, 0]","[8, 1]",False,True
0,1,39,100,1,42,22,1,0.25145,0.833,move,u,5,"[0, 3]","[0, 2]",False,True
1,2,39,100,1,42,22,4,0.25145,-0.167,move,z,5,"[8, 0]","[8, 0]",False,True
0,1,39,100,1,42,23,1,0.2811,0.0,move,u,5,"[0, 2]","[0, 1]",False,True
1,2,39,100,1,42,23,3,0.2811,0.167,move,l,5,"[8, 0]","[7, 0]",False,True
0,1,39,100,1,42,24,15,0.3402,0.583,remove,d,5,"[0, 1]","[0, 2]",False,True
1,2,39,100,1,42,24,12,0.3402,0.0,remove,l,2,"[7, 0]","[6, 0]",False,True
0,1,39,100,1,42,25,1,0.3861,-0.75,move,u,5,"[0, 1]","[0, 0]",False,True
1,2,39,100,1,42,25,1,0.3861,-0.883,move,u,1,"[7, 0]","[7, -1]",False,True
0,1,39,100,1,42,26,15,0.31155000000000005,0.333,remove,d,5,"[0, 0]","[0, 1]",False,True
1,2,39,100,1,42,26,7,0.31155000000000005,0.017,move,d,5,"[7, 0]","[7, 1]",False,True
0,1,39,100,1,42,27,11,0.22384999999999997,-1.0,remove,ru,1,"[0, 0]","[1, -1]",False,True
1,2,39,100,1,42,27,2,0.22384999999999997,-0.167,move,ru,5,"[7, 1]","[8, 0]",False,True
0,1,39,100,1,42,28,1,0.25415,0.433,move,u,1,"[0, 0]","[0, -1]",False,True
1,2,39,100,1,42,28,1,0.25415,-0.167,move,u,1,"[8, 0]","[8, -1]",False,True
0,1,39,100,1,42,29,16,0.28530000000000005,0.1,remove,rd,2,"[0, 0]","[1, 1]",False,True
1,2,39,100,1,42,29,1,0.28530000000000005,-0.483,move,u,1,"[8, 0]","[8, -1]",False,True
0,1,39,100,1,42,30,4,0.27259999999999995,-0.467,move,z,5,"[0, 0]","[0, 0]",False,True
1,2,39,100,1,42,30,8,0.27259999999999995,0.35,move,rd,5,"[8, 0]","[9, 1]",False,True
0,1,39,100,1,42,31,7,0.37560000000000004,-0.75,move,d,5,"[0, 0]","[0, 1]",False,True
1,2,39,100,1,42,31,2,0.37560000000000004,-0.167,move,ru,5,"[9, 1]","[10, 0]",False,True
0,1,39,100,1,42,32,4,0.24020000000000002,1.0,move,z,5,"[0, 1]","[0, 1]",False,True
1,2,39,100,1,42,32,6,0.24020000000000002,-0.25,move,ld,5,"[10, 0]","[9, 1]",False,True
0,1,39,100,1,42,33,6,0.31565000000000004,-0.083,move,ld,1,"[0, 1]","[-1, 2]",False,True
1,2,39,100,1,42,33,1,0.31565000000000004,0.25,move,u,5,"[9, 1]","[9, 0]",False,True
0,1,39,100,1,42,34,1,0.23045000000000004,-0.233,move,u,5,"[0, 1]","[0, 0]",False,True
1,2,39,100,1,42,34,1,0.23045000000000004,0.25,move,u,1,"[9, 0]","[9, -1]",False,True
0,1,39,100,1,42,35,14,0.32365,-0.75,remove,ld,1,"[0, 0]","[-1, 1]",False,True
1,2,39,100,1,42,35,2,0.32365,-0.9,move,ru,1,"[9, 0]","[10, -1]",False,True
0,1,39,100,1,42,36,9,0.44699999999999995,-0.233,remove,lu,1,"[0, 0]","[-1, -1]",False,True
1,2,39,100,1,42,36,1,0.44699999999999995,-0.483,move,u,1,"[9, 0]","[9, -1]",False,True
0,1,39,100,1,42,37,0,0.2937,-0.733,move,lu,1,"[0, 0]","[-1, -1]",False,True
1,2,39,100,1,42,37,1,0.2937,-0.483,move,u,1,"[9, 0]","[9, -1]",False,True
0,1,39,100,1,42,38,11,0.43605,0.933,remove,ru,1,"[0, 0]","[1, -1]",False,True
1,2,39,100,1,42,38,4,0.43605,-0.9,move,z,5,"[9, 0]","[9, 0]",False,True
0,1,39,100,1,42,39,1,0.3645999999999999,-1.4,move,u,1,"[0, 0]","[0, -1]",False,True
1,2,39,100,1,42,39,7,0.3645999999999999,1.083,move,d,5,"[9, 0]","[9, 1]",False,True
0,1,39,100,1,42,40,4,0.26844999999999997,-0.567,move,z,5,"[0, 0]","[0, 0]",False,True
1,2,39,100,1,42,40,16,0.26844999999999997,0.083,remove,rd,2,"[9, 1]","[10, 2]",False,True
0,1,39,100,1,42,41,9,0.25329999999999997,-0.833,remove,lu,1,"[0, 0]","[-1, -1]",False,True
1,2,39,100,1,42,41,1,0.25329999999999997,-0.383,move,u,5,"[9, 1]","[9, 0]",False,True
0,1,39,100,1,42,42,1,0.31849999999999995,0.6,move,u,1,"[0, 0]","[0, -1]",False,True
1,2,39,100,1,42,42,8,0.31849999999999995,0.083,move,rd,5,"[9, 0]","[10, 1]",False,True
0,1,39,100,2,31,1,15,0.7505,-0.417,remove,d,2,"[1, 7]","[1, 8]",False,True
1,2,39,100,2,31,1,15,0.7505,-0.333,remove,d,2,"[9, 1]","[9, 2]",False,True
0,1,39,100,2,31,2,1,0.3434,-0.217,move,u,5,"[1, 7]","[1, 6]",False,True
1,2,39,100,2,31,2,6,0.3434,-0.55,move,ld,5,"[9, 1]","[8, 2]",False,True
0,1,39,100,2,31,3,16,0.1921,0.083,remove,rd,2,"[1, 6]","[2, 7]",False,True
1,2,39,100,2,31,3,5,0.1921,-0.167,move,r,5,"[8, 2]","[9, 2]",False,True
0,1,39,100,2,31,4,15,0.44855,-0.3,remove,d,5,"[1, 6]","[1, 7]",False,True
1,2,39,100,2,31,4,15,0.44855,0.583,remove,d,2,"[9, 2]","[9, 3]",False,True
0,1,39,100,2,31,5,5,0.19769999999999996,-0.333,move,r,5,"[1, 6]","[2, 6]",False,True
1,2,39,100,2,31,5,1,0.19769999999999996,-0.467,move,u,5,"[9, 2]","[9, 1]",False,True
0,1,39,100,2,31,6,6,0.4241,-0.167,move,ld,5,"[2, 6]","[1, 7]",False,True
1,2,39,100,2,31,6,12,0.4241,-0.25,remove,l,2,"[9, 1]","[8, 1]",False,True
0,1,39,100,2,31,7,14,0.18699999999999997,0.0,remove,ld,2,"[1, 7]","[0, 8]",False,True
1,2,39,100,2,31,7,11,0.18699999999999997,-0.3,remove,ru,2,"[9, 1]","[10, 0]",False,True
0,1,39,100,2,31,8,7,0.5900500000000001,-0.133,move,d,5,"[1, 7]","[1, 8]",False,True
1,2,39,100,2,31,8,7,0.5900500000000001,0.283,move,d,5,"[9, 1]","[9, 2]",False,True
0,1,39,100,2,31,9,1,0.14214999999999997,-0.083,move,u,5,"[1, 8]","[1, 7]",False,True
1,2,39,100,2,31,9,1,0.14214999999999997,-0.417,move,u,5,"[9, 2]","[9, 1]",False,True
0,1,39,100,2,31,10,0,0.22765,0.0,move,lu,5,"[1, 7]","[0, 6]",False,True
1,2,39,100,2,31,10,10,0.22765,0.083,remove,u,2,"[9, 1]","[9, 0]",False,True
0,1,39,100,2,31,11,2,0.08709999999999998,0.0,move,ru,5,"[0, 6]","[1, 5]",False,True
1,2,39,100,2,31,11,8,0.08709999999999998,-0.8,move,rd,5,"[9, 1]","[10, 2]",False,True
0,1,39,100,2,31,12,5,0.04760000000000001,0.083,move,r,5,"[1, 5]","[2, 5]",False,True
1,2,39,100,2,31,12,1,0.04760000000000001,0.167,move,u,5,"[10, 2]","[10, 1]",False,True
0,1,39,100,2,31,13,7,0.06670000000000001,0.25,move,d,5,"[2, 5]","[2, 6]",False,True
1,2,39,100,2,31,13,1,0.06670000000000001,0.083,move,u,5,"[10, 1]","[10, 0]",False,True
0,1,39,100,2,31,14,16,0.07479999999999998,-0.333,remove,rd,2,"[2, 6]","[3, 7]",False,True
1,2,39,100,2,31,14,14,0.07479999999999998,0.667,remove,ld,5,"[10, 0]","[9, 1]",False,True
0,1,39,100,2,31,15,16,0.0993,0.033,remove,rd,2,"[2, 6]","[3, 7]",False,True
1,2,39,100,2,31,15,15,0.0993,-0.583,remove,d,5,"[10, 0]","[10, 1]",False,True
0,1,39,100,2,31,16,11,0.09384999999999999,-0.383,remove,ru,2,"[2, 6]","[3, 5]",False,True
1,2,39,100,2,31,16,3,0.09384999999999999,-0.167,move,l,5,"[10, 0]","[9, 0]",False,True
0,1,39,100,2,31,17,10,0.1109,-0.217,remove,u,5,"[2, 6]","[2, 5]",False,True
1,2,39,100,2,31,17,9,0.1109,0.333,remove,lu,1,"[9, 0]","[8, -1]",False,True
0,1,39,100,2,31,18,12,0.1346,0.167,remove,l,5,"[2, 6]","[1, 6]",False,True
1,2,39,100,2,31,18,13,0.1346,-0.317,remove,r,5,"[9, 0]","[10, 0]",False,True
0,1,39,100,2,31,19,9,0.09359999999999997,-0.333,remove,lu,5,"[2, 6]","[1, 5]",False,True
1,2,39,100,2,31,19,16,0.09359999999999997,0.25,remove,rd,2,"[9, 0]","[10, 1]",False,True
0,1,39,100,2,31,20,10,0.14274999999999996,0.083,remove,u,2,"[2, 6]","[2, 5]",False,True
1,2,39,100,2,31,20,2,0.14274999999999996,-1.217,move,ru,1,"[9, 0]","[10, -1]",False,True
0,1,39,100,2,31,21,13,0.09555,-0.217,remove,r,2,"[2, 6]","[3, 6]",False,True
1,2,39,100,2,31,21,1,0.09555,0.433,move,u,1,"[9, 0]","[9, -1]",False,True
0,1,39,100,2,31,22,5,0.16019999999999998,-0.633,move,r,5,"[2, 6]","[3, 6]",False,True
1,2,39,100,2,31,22,1,0.16019999999999998,-1.067,move,u,1,"[9, 0]","[9, -1]",False,True
0,1,39,100,2,31,23,1,0.093,0.333,move,u,5,"[3, 6]","[3, 5]",False,True
1,2,39,100,2,31,23,11,0.093,0.183,remove,ru,1,"[9, 0]","[10, -1]",False,True
0,1,39,100,2,31,24,11,0.16495,-0.167,remove,ru,2,"[3, 5]","[4, 4]",False,True
1,2,39,100,2,31,24,9,0.16495,-0.4,remove,lu,1,"[9, 0]","[8, -1]",False,True
0,1,39,100,2,31,25,6,0.13810000000000003,-0.05,move,ld,5,"[3, 5]","[2, 6]",False,True
1,2,39,100,2,31,25,11,0.13810000000000003,-0.817,remove,ru,1,"[9, 0]","[10, -1]",False,True
0,1,39,100,2,31,26,1,0.1394,-0.25,move,u,5,"[2, 6]","[2, 5]",False,True
1,2,39,100,2,31,26,1,0.1394,0.267,move,u,1,"[9, 0]","[9, -1]",False,True
0,1,39,100,2,31,27,1,0.1299,-0.083,move,u,5,"[2, 5]","[2, 4]",False,True
1,2,39,100,2,31,27,10,0.1299,-0.567,remove,u,1,"[9, 0]","[9, -1]",False,True
0,1,39,100,2,31,28,4,0.123,-0.333,move,z,5,"[2, 4]","[2, 4]",False,True
1,2,39,100,2,31,28,0,0.123,-0.9,move,lu,1,"[9, 0]","[8, -1]",False,True
0,1,39,100,2,31,29,1,0.15995,0.417,move,u,5,"[2, 4]","[2, 3]",False,True
1,2,39,100,2,31,29,5,0.15995,0.017,move,r,5,"[9, 0]","[10, 0]",False,True
0,1,39,100,2,31,30,2,0.18085,0.75,move,ru,5,"[2, 3]","[3, 2]",False,True
1,2,39,100,2,31,30,15,0.18085,-0.583,remove,d,2,"[10, 0]","[10, 1]",False,True
0,1,39,100,2,31,31,2,0.1402,-0.75,move,ru,5,"[3, 2]","[4, 1]",False,True
1,2,39,100,2,31,31,10,0.1402,-0.3,remove,u,1,"[10, 0]","[10, -1]",False,True
